,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0.144514455445109,0,0,0,0,0,0,0,0.0136909983146161,0,0,0,0,0,0.0848794440933495,0,0.0179496779860466,0,0,0,0,0,-0.0218190918629727,0,0.134491742660464,0
X600036.CH.EQUITY,0,0,0,0,0.421970942183873,0,0,0,0,0,0,0,0,0.138396814445695,0.111065503668636,0,0,0,0,0,0,0,0.0211348446754775,0,0.102365658692163,0,0.00230846381362558,0,0,0.00535590250380454
X2628.HK.EQUITY,0,0,0,0,0.310075262405072,0,0,0,0,0,0,0,0,0.107135157239033,0,0,0,0,0,0,0,0,-0.0300616404868035,0,0.222574099325206,0,0,0.210171567678531,0,0
X601628.CH.EQUITY,0,0,0,0,0.375860480786575,0,0,0,0,0,0,0.0441492715222767,0.219679755785581,0,0,0,0.136370402784875,0,0,0,0.0303562330818429,0,0.163466177678797,0,0.404847564808358,0,-0.00485169741232933,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.277194573795742,0,0,0,0,0,0,0,0,0.0378174473024302,0,0,0.23439982628105,0.032242309452227,0,0,0,0.0144751033582265,0,0,0,0,0.00217195482894698,0,0,0
X3328.HK.EQUITY,0,0,0,0.28143474303702,0,0,0,0,0,0,0,0,0,0.134073485607894,0,0,0.00552422026625033,0,0,0,0,0.0305772803698766,0,0,0,0,0,0.0602093752751446,-3.46944695195361e-18,0
X601166.CH.EQUITY,0,0,0.243603857107362,0,0,0,0,0,0,0,0,0.229240886356964,0,0.23428966846503,0,0,0,0,0,0,0,0.051514795805542,0.0252856254095896,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0350992762752019,0,0,0,0,0,0,0.193377994703478,0,-1.73472347597681e-18,0,0,0.186419278350312,0,0,0,0,0,0.0063230671540078,0,0.0920649118355481,0,-0.00379910249682857,0,0,0
X11.HK.EQUITY,0.0692254870954833,0,0,0,0,0,0,0,0,0,0.134533755960404,0,0,0,0,0,-0.000591880099412247,0,0,0.0269925140143621,0.0171200701140404,0,-0.0115419044144962,0,0.0540729717742768,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912695375154852,0,0,0,0.106447000488443,0.0402525409576903,-0.051493421132354,0,0.145092195781506,0,0.00263533138287312,0,-0.0217743271501721,0.0577598550424208
X2388.HK.EQUITY,0.139200588808769,0,0,0,0,0,0,0.0482974648043631,0,0,0.0941321187343689,0,0,0.0206414712015937,0,0,0,0,0,0,0,0,0.0108281153691761,0,-0.0565871306437471,0,-0.0112843403493266,0.033780749643792,0,0
X000002.CH.EQUITY,0,0,0,0,0.545874781076144,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0537551749999384,0,0.13698007016156,-0.134321541351012,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.24200199826113,0,0.0721700879798614,0,0,1.23073142549139,0,0,0,0,0,0,0,0,0.144157070435835,0,0,0.737291400883963,0,0,0,0,0.0366822657381513,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0226499919951,0.267046620857479,0.15490533722012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284078294376246,0
X601601.CH.EQUITY,0,0,0.194842472579482,0,0.333133144473372,0,0,0,0,0,0,0,0.191064004295631,0.0273878571428885,0,0,0,0,0,0,0,0,0,0,0,0,0.0173971706623781,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850956203257624,0,0,0,-0.257387601616693,0.0514715160812685,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.517226652938413,0,0.935677070739295,0,0,0,0,0,0,0,0,0,0.225892257689222,0,0,-3.53325439672975,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,1.62511474732188e-05,0,0,0,0,0,0,0,0,0,1.47240367357957e-07,0,0,0,-2.08295614685121e-07,0,0.999954537667115,0.999942936602255
CN2YR,0,0,0,0,0,0,0,0,0,0,0,1.01703990737324e-06,0,0,0,0,0,0,0,0,0,0,1.50090467917391e-06,0,0,0,-4.19533709963686e-07,0.999984774768207,0,-0.999974885970148
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31125051912217e-06,0.999968163906097,-0.999977683247766,0
