,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.172991293638853,0,0,0,0,0,0.137557558153406,0,0.201247400072979,0,0.27865203210348,0,0,0,0,0.0180598157188211,0,-0.0380024280826218,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0744273848610463,0,-1.38777878078145e-17,0,0,0,0.0650795041304266,0,0,-0.0427182386391827,0,0.17108653254651,0.333386205424226,0.341834201468237,0,0,0.00188800265174516,0,0,0
X2628.HK.EQUITY,0.138692904281844,0,0,0.11948916116424,0,0,0,0,0,0,0,0.119034128363781,0,0.279171589168103,0,0,0,0,0,0,0.0728010294338364,0,0,0,0,0,-0.00223329382333893,0,0,0
X601628.CH.EQUITY,0,0,0,0.281529552043373,0,0,0,0,0,0,0,0,0.431198500480449,0,0.0986282836810524,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.109227144019312,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.344215686787315,0.00175245113185163,0,0,0,0,0,0,0,0,0,0.359356346389004,0,0,0.160308419672924,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0748410191538901,0,0,0,0,0,0,0,0,0.0136326269111436,0,0,0.329364214771304,0,0,0,0,0,0,0.104379195181544,0,0,0,0,0
X3328.HK.EQUITY,0.255441674667046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492092132663254,0,0,0,0,0,0.200212654924968,0,0,0.0157695809000182,0,0,0.0175381694028327,0,0,0
X600000.CH.EQUITY,0,0.00590217019359881,0.0184258699600245,0.201137476520179,0,0,0,0,0,0,0.201783507722581,0,0,0,0,0.488061736923332,0,0,4.33680868994202e-19,0.0714570330238567,0.0585613793056326,0,0,0,0.05093361639953,0,0,-0.017032573433892,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0376415845932098,0,0,0.0919622444526634,0,0,0,0,0,0,0,0.193191418481302,0,-0.0417085094414313,0.125413130048831,0,-0.00987233144301862,0,0.196469676004922,0
X000001.CH.EQUITY,0,0,0,0.0948400158999733,0,0,0,0,0,0,0.244535302329921,0,0.0411920712408641,0,0,0,0,0.376348911104837,0,0,-0.0998878529281628,0.269655951344875,0,0,0.0275799734276703,0.28471847764739,0.0303600000110201,-0.0837338914331491,0,0
X16.HK.EQUITY,0,0,0,0,0.0764527887720344,0,0,0,0,0,0,0.130110124662579,0.0298115371791279,0,0,0,0,0,0,0.0380567892313677,0,0,0.0582809197662722,0.586063526121999,0,0,-0.0228398849099036,0.00502866176262267,0.164384585755327,0
X601601.CH.EQUITY,0.109548268967292,0,0,0,0,0,0,0,0,0,0.316210128799257,0,0,0.23014755883255,0,0,0.0972000941824115,0,0,-4.33680868994202e-19,0,0,0.13559889078557,0,0,0,-0.02888412662826,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.123462237569356,0,0,0,0,0,0.355748344603653,0,0,0,0,0,0,0,0,0.107044118999758,0.261674566123768,0,0,0,0,-0.00944651813434222,-0.174869015518621,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.152350361686592,0,0,0,0.149364663177031,0,0,0,0,0,0,0,-0.0442359005208061,0.339404434037694,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0787961189567065,0,0,0,0,0,0,0.333397961490439,0,0,0,0,-0.0383078412790558,0,1.73472347597681e-18,0,0.23056094124262,0.0599866180305623,0.115671126776105,0,0,0,0,0,0,-0.00867207197126887,0.0868735042060675,0,0
FXI.US.EQUITY,0.0980069972455965,0,0,0,0,0,0,0,0,0,0,0,0.0814398152071069,0,0.00072724622622504,0,0,0,0,0,0,0,0,0,0,0,-0.137491970262999,0,0,0
VXFXI.INDEX,1.02355227574501,0,0,0,0,0,0,0,0,0,0,0,0.0308588444038172,0,0,0,0,0,0,0,0,0,0,0,0,-5.56799793196492,0,0,0,-0.340850733419875
CN10YR,0,0,0,0,-2.76977907122031e-06,0,0,0,0,0,-1.81385876721574e-06,0,-1.69569922268806e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43738644317863e-07,0,0.999991503570344,0.999988364417028
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999976188169018,0,-0.999960440077176
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,-1.6106589921384e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999918660924497,-0.99989048814963,0
