,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601166.CH.EQUITY,0,0,0.198571963258443,0,0,0,0,0,0,0,0,0,0.194263565937491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022499161266676,0,0,0
X601319.CH.EQUITY,0,0,0.362022241436575,0,0,0,0,0,0,0,0,0,0.310287740606151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162600569681925,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.000716458788522959,0,0,0,0,0.0566933985912199,0,0,0,0,0,0.235376442228991,0,0,0,0.0262565947867561,0,0,0,0,0,0.00806491175998338,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.251499411235451,0,0,0,0,0.0872273186705099,0,0,0,0,0,0,0,0,-0.0244992788526075,0,0,0
X000002.CH.EQUITY,0,0,0.226424112286587,0,0,0,0,0,0,0,0,0,0.117277294251429,0,0,0,0.0940244818936644,0,0,0,0,0,0,0,0,0,0.0120896280275074,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0333238776236606,0.0734435630847305,0,0,0,0,0,0,0,0,0,0,0.038045462674677,0,0,0,-0.000808251046273892,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.244011981603286,4.2351647362715e-22,0,0.00217713880034052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0807895841438182,0,0.27366445079903,0,0,0,0,0,0.0441035608651297,0,0,0,0,0,0,-0.0055109093815134,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0340875930266858,0,0.100232275713478,0,0,0,0,0,0,0,0,0,0.146941690080364,0,0,-0.00498795523425152,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122429717760071,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88903357697479,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11196669819435e-06,0,0.999960805591526,0.999940199408533
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999945313409265,0,-0.999920930035603
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41196267011619e-07,0.999989260646377,-0.999980917082857,0
