,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X3328.HK.EQUITY,0,0,0,0.320366713621819,0.105765842714929,0,0,0,0,0,0.12129895850572,0,0.0213214968395647,0.0668766805473937,0,0,0,0,0,0,0,0,0,0,0,0,-0.00771155648431398,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.214276963886764,0,0.318336073711032,0,0,0,0,0,0.0614041448811944,0.0313002724290985,0,0,0,0,0,0.00697971727237741,0,0,0
X11.HK.EQUITY,0,0.104509473173386,0,0.0263498275135333,0,0,0,0,0,0,0.162273771372243,0,0,0,0,0,0,0,0.070372572176555,0,-0.01259339483473,0,0.0804033880347381,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0.0347178338137885,0.0277463327217226,0,0,0,0,0,0,0,0,0,0,0,0,-0.120401163401769,0,0,0,-0.0426834898247527,0.0580690059575021,0,0.0793339962235201,0.148125334383057,0,5.53531191520994e-05,0,-0.0360206141627864,0.0607197876018963
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.285005043460437,0,0.114339968879863,0,0,0.0999137211287068,0,0,0,0,0,0,0,0.147508688809158,0,0.00359252773735303,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.465895514281957,0,0,0,1.22550311477365,0,0,0,0,0,0,-0.0622929015462463,0,0,0,0,0,0.961920120174368,0,0,0,0,0.0290182153510327,0,0,0.334631435883963
X000002.CH.EQUITY,0,0,0,0,0.264364318375513,0,0,0,0,0,0,0,0,0.233130630141226,0,0,0,0,0,0,0.0335663125006111,0,0,0,0,0,0.0446704686833848,0,0,0
X2388.HK.EQUITY,0,0.185369041647685,0,0,0,0,0,0.062995178135139,0,0,0.0621397151976231,0,0.0322299704940969,0,0,0,0,0,0,0,0.00898779464143895,0,0,0,0,0,-0.0142476242427211,0.00851685868269317,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0117947508592652,0,0,0,0,0,0,0,0.219520877199025,0,0.018682343587127,0,0.0755706020818872,0,0,0,0.0185990357114358,0.183735784182233,0,0
X601601.CH.EQUITY,0,0,0.167822741622187,0,0.338976798826658,0,0,0,0,0,0,0,0.179502414596486,0.0411239687487305,0,0,0,0,0,0,0,0,0,0,0,0,0.016803684027581,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.123045726042378,0,0.15024253466579,0,0,0,0,0,0,0,0.0226282652310802,0,0,0,0,0,-0.283377943102947,-1.73472347597681e-18,0,0
VXFXI.INDEX,0,0,0,0.506363440927535,0,0,0,0,0,0,-0.369651159948976,-0.249728690418925,0.551044139491136,0,0,0,0,-0.815502423219668,0,0,0.130465275213957,0.185014939948247,0,0,-0.143846057163293,-3.25257719254255,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,1.62496554505601e-05,0,0,0,0,0,0,0,1.46495928549758e-07,0,0,0,0,0,-2.0838882613808e-07,0,0.999954547402838,0.99994295009208
CN2YR,0,0,0,0,0,0,0,0,0,0,0,1.01684057553654e-06,0,0,0,0,0,0,0,0,1.50068490717731e-06,0,0,0,0,0,-4.19548708446135e-07,0.999984775619007,0,-0.999974887201561
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62222048077929e-06,0,0,0,0,0,0,0,0,0,3.29051337681704e-06,0.999920835044074,-0.999945703018795,0
