,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0.157686096775897,0,0,0,0,0,0,0,0,0,0.0684250437793962,0,0,0,0,0,0.0609797612166716,0,0,0,0.0316170574650367,0,0,0,-0.000570550217694417,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197295200311577,0.360278564905202,0,0,-0.01218182185215,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145786889854167,0.452451254776078,0,0,0,0,0.00495459244618971,0,-0.00269325607244492,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0994200120488316,0.0352380811198896,0,0,0,0,0,0,0.0908637810449042,-8.67361737988404e-19,0,0,0,0.0890738461450024,0.0517535067463199,0,-0.00167472945943558,0,0,0
X3328.HK.EQUITY,0.351207959444663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304156077850595,0,0,0,0.0740270121627109,0,0,0,-0.00415569303710471,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.075191454582207,0,0,-2.16840434497101e-19,0,0,0.0210357825811279,0,0,0,0,0,0.011882493012218,0,0.0502274236150342,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0352233463998406,0,0.104942811712248,0,0,0,0,0,0,0,0.0730164034098706,0,0,0,0.272994351222029,0,-0.00267204442503667,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0182256968988578,0,0,0,0,0,0.0361168321832524,0,0,0,0,0,0.0442301422220288,0,0,0,0,0,0,0,0.221272627479068,0,0.00695700879497928,0,0,0
X601319.CH.EQUITY,0,0,0.283706928066056,0,0,0,0,0,0,0,0,0,0.419292961983979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196260832998514,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.246532088570696,0,0,0,0,0,0.156782056762036,0,0,0,0,0,0,0,-0.0243389039322925,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.107468931910054,0,0,0,0,0.113506275426324,0,0,0,0,0,0.0448606924885976,0,0.181031202617408,0,0,0,0,0
X11.HK.EQUITY,0.136978823814936,0,0,0,0,0,0,0,0,0,0,0.0564021602369166,0,0,0,0,0,0,0.0259245571334503,0,0,0,0.0654717204167442,0,0.0259013589131004,0,-0.00498623209763931,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0369740326140949,0.293301768791099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.211050969110993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00510149284344883,0,0,0
X000001.CH.EQUITY,0,0,0.340134480188096,0,0,0,0,0,0,0,0,0.0141657350906852,0,0,0,0,0.0351409499107878,0,0,0.101680498541699,0,0,0,0,0,0,0.00554158435791709,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139546960647476,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82706062195171,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.32296217799317e-07,0,0.999974933974161,0.999966774944557
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999953437436383,0,-0.999927252521889
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73941986693874e-07,0.99997622122742,-0.999966294018487,0
