,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0972675572716574,0,0.058896836476622,0,0,0,0.0876103179894229,0,0.0331969100036742,0.319750554246012,0,0.0723743493163505,0,0,0,0,-0.00425817011539994,0,0,0
X2628.HK.EQUITY,0,0,0,0,0.0764814399082206,0,0,0,0,0,0,0,0,0.344643831877981,0,0,0,0,0,0,0,0,0,0.0896987713640467,0.0784046710829528,0,-0.0181294109348194,0,0.00595565309379767,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.100443995107733,0,0,0,0.384389974675114,0.0643468458500563,0,0,0,0,0,0.240052238466004,0,0,0.0231473089407235,0,0,0
X3328.HK.EQUITY,0,0,0.104198834490931,0,0,0,0,0,0,0,0,0.0664113746030593,0.0668103413109115,0.0404235750185173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0956378209845173,0,0,0.189324334306387,0,0,0,0,0.117291342433117,0,0,0,0,0.00292569709506217,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.000365434275808197,0,0,0,0,0,0.357750362254236,0,0,0.202871735564976,0,0,0,0,0,0,0,0.0329948650599437,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350908872846567,0,0,0,0,0,0,0.0288688795373313,0.348066536615998,0,0,0,0,0,0.077995083004157,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0116020069036079,0,0,0,0,0,-0.00661776457004764,0,0,0,0.0322610344072196,0.111812677582681,0,0,0,0,0,-0.0612567745023859,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.080888628054863,0,0.0276891207419806,0,0,0,0,0,0,0,0,0.159843970995145,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.08049837535148,0,0,0.117465930360515,0,0,0.133361460642171,0,0,0,0,0,0,0,0,0,0.00885172820517473,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.0803454908112738,0,0,0,0,0,0,0,0.126359137989011,0.142413522581964,0,0,0.289998188146252,0,0,0,0,0,0,0,0,0,0.0131861234670201,0,0,0
X2388.HK.EQUITY,0.0670675046446553,0,0,0,0,0,0,0.147510020454293,0,0,0,0,0.10160945064831,0.0198212436922534,0,0,0,0.000966945024307358,0.098943602622052,0,0,0,0,0,0,0,0,0,0,0.0361895041363778
X601601.CH.EQUITY,0,0,0,0.279990945035756,0,0,0,0,0,0,0.0959850118624294,0,0.104327683885296,0.212066172288723,0,0,0,0,0,0,0,0,0,0,0,0,0.00847548669278652,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.219948131507646,0.169448972091818,0,0,0,0,0,0,0,0,0,0,0,0,-0.00125874938112952,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0997778670076768,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237469212902716,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91783223176796,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,1.18636389701045e-05,0,0,0,0,1.90059992674261e-06,0,0,0,0,0,0,0,0,0,0,0.999879817792305,0.999785897009628
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92718176092511e-07,0,0,0,0,0,0,0,0,-6.09338740583359e-07,0.999983461150183,0,-0.999976373853137
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74833184489117e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.79840449319936e-07,0.999975665302018,-0.999980430397003,0
