,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0221916475306436,0,0,0,0,0,0,0,0.443701518118352,0,0,0,0,0,0.00188978559978709,0.157813625240977,0,0
X3328.HK.EQUITY,0,0.159553800453848,0,0,0.127947631618934,0,0,0,0,0,0,0.221605105366469,0.0408659321382753,0,0,0,0,0,0,0,0.146838466993262,0,0,0,0,0,0.00897047050772179,0.0314613375957719,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176217069114102,0,0,0.0350088967132537,0,0,0,0.124701745976284,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297963625353757,0,0.0862994017265128,0,0,0,0.00825514742058883,0.153119075296702,0,0
X000002.CH.EQUITY,0,0,0,0.089097730223813,0,0,0,0.119113074353355,0,0,0,0,0.370370516673447,-0.297051541517883,0,0,0,0,0,0,0,0,0.0261844414634228,0,0.499974375830248,0.0274659031118528,0,0,0.0145280022624563,-0.0782533632495016
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0999816331097548,0.340985614374132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.405048331687043,0,0.227090508297608,0,0,0.182887924945164,0,0,0,0,0.123090860941778,0,0,0,0.00866397981244535,0.0192715616732643,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.31486094270825,0.0173054209620085,0,0,0,0,0,0,0,0,0,0,0,0,0.00866710751612661,0.166972245144854,0,0
X601319.CH.EQUITY,0,0,0,0,-0.102875119703735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254400940035395,0,0,0.344340228556924,0,0,-0.0236593064285185,0.0401460860353432,0.322780656700863,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.396344181888962,0.077156484916615,0,0,0,0,0,0,0,0,0.0460059527543689,0,0.302007184926965,0,0.0165751662078623,0.139376117562409,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145123026454497,0,0,0,0,0,0,0.391947412890242,0,0,0.0776885112955782,0,0,-6.7762635780344e-21,0.131478796555718,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059240671923334,0,0,0,-0.221615527336251,0,0,0
VXFXI.INDEX,0,0,0,0,0.588501193926219,0,0,0,0,0,0,0.321317084726651,0,-0.318511036796561,0,0,0,0,0,0,0,0,-0.302285435824692,0,0,-4.42286935937921,0,-0.25455089781288,-0.0570347466062098,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,5.28708026238107e-07,0,0,0,0,0,0,0,0,0,0,3.2604310309871e-06,0,0,-3.52145344336796e-07,0,0.999994906659758,0.999997083327104
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43347222321272e-06,0,0,0,0,0,0,0,6.49672506635547e-07,0.999974923542492,0,-0.999951053770402
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68919090862502e-07,0.999956871957721,-0.999932286979763,0
