,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568790902540958,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235833563338158,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.223485513800841,0,0,0.187311101977298,0,0,0,0.0823603297909194,0,0,0,0,0,0,0,0,0.00634370430514648,0.0801263222431529,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350873892199881,0,0,0,0,0,0,0,0,0,0,0.02159454903612,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.422317946343802,0,0.0524107727035808,0,0,0,0,0,0,0,0,0,0,0,0.358350352169071,0,-0.0264557279084266,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.222535746261102,0,0,0.22081065336587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0155009989687169,0.0343860752167407,0,0,0.0212656015801929,0,0,0.0655575387154655,0,0,0.0332384927054478,0,0,0,0,0.0247163790896032,0,-0.00174311291844136,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.401000560483221,3.46944695195361e-18,0,0,0.0376253048728971,0,0,0,0,0,0,0,0,0,0,0.0604716219695751,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.1064840248156,0,0,0.239679124833131,0,0,0,0,0,0,0,0,0,0.191905818514921,0,0.03369297364062,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0717309772433922,0,0,0.0832880756805332,0,0,0,0,0,0,0,0.0836345809351797,0,0,0.0360441867143673,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.104657462854148,0,0,0,0.100972967127121,0,0,0,0,0,0,0.0033809720518362,0,0,0,0.224141333755532,0,-0.0077160732893202,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0625033910556957,0.0801277318267645,0,0,0,0.171258910604194,0,0,0,0,0,0,0.0915892372711305,0,0,0,0,-0.0155644211701659,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.321564926419001,0,0,0.0579362274769855,0.187733887780941,0,0,0,0.0536783352311609,0,0,0,0,0,0,0,0,0,0,0.0418014785957861,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0681391627953697,0.0475931749344229,0,0,0,0,0,0,0,0,0,0,0.05570643906722,0,0,0.0352389083332429,0,-0.0184318959126452,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.434659909343863,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0311184829879632,0,0,0.601708196175346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205498931598613,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20592002031859,0,0,0,-0.269403263883948
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999989467735858,0.999987270429092
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73787996265077e-07,0.999958823971467,0,-0.99995403409042
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.29317917717733e-08,0.999988117571748,-0.999987142241531,0
