,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601166.CH.EQUITY,0,0,0,0,0,0.109241342287536,0,0,0,0,0,0.0469789936622431,0,0,0,0,0,0,0,0.126478573887219,0.329001972908948,0,0,0,0,0,-0.0153763674305243,0,0,0.0598785054934897
X601328.CH.EQUITY,0,0,0,0,0.045445192334923,0,0,0,0,0,0,0,0.127328660515526,0,0,0,-4.33680868994202e-19,0.207658384151196,0.0171315962276531,0.0724241630579745,0,0,0,5.42101086242752e-20,0,0,-0.00607408040897013,0,0,0
X3328.HK.EQUITY,0.11712653208222,0,0,0,0.0218675057954928,0,0,0,0,0,0,0,0.0460967844156854,0,0.0811855670616209,0,0,0,0,0,0.1055941147077,0,0.0414845880272271,0,0.134426696547437,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.311392212251168,0,0,0,0,0,0,0,0,0.0168962999058551,0,0,0.0881413872395307,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.113230775807587,0.0601938404943633,0,0,0,0.0411981057734398,0,0,0,0.115559801088847,0,0,0,0,0,0.0166545550751921,0.112924434442262,0,0
X000001.CH.EQUITY,0,0,0,0.22943618675227,0,0,0,0,0,0,0.0478014574834465,0,0,0,0,0,0,0.536372320600928,0,0,0,0,0,0,0.0403546908212952,0,-0.00365498728344695,0,-0.0940437364339456,0
X601601.CH.EQUITY,0.154943317614833,0,0,0,0,0,0,0,0,0,0.314206542764135,0.257418102883164,0,0,0.00630213763798067,0,0,0,0,0,0,0.0586030297243052,0,0,0.107657894282283,0,-0.0259786721898629,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0607720693784985,0,0.281694160567267,0,0,0,0,0,0.0965702123080788,-3.46944695195361e-18,0,0,0,-0.118751656732459,0,0,-0.0225348542324197,0.0695666534009485,0.141464851573374,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0819145766310248,0.307962250561491,0,0,0,0,0,0,0,0,0,0.42430725396611,0.120138294475198,0,-0.0288197790628511,0.132833860369491,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.23695005422923,0,0,0,0,0,0.327985896938756,0,0,0,0,0,0,0,0,0.113774591250394,0,0,0,-0.00758057722305442,0,0,0
X388.HK.EQUITY,0,0,0,0.139397622820228,0,0,0,0,0,0,0,0,0,0.539328590276486,0,0,0.230068742263113,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.028315799583216,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.160067370709744,-2.16840434497101e-19,0,0,0,0,0,-0.019244513723075,0,0,0,0,0,0,-0.100415215259316,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.574849701199106,0,0,0,-3.3881317890172e-21,0,0.356622736456545,-0.447220641553487,0,0,-0.203891405784216,0,0,-4.11877954904476,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52040209949573e-06,0,0,0,0,0,0,0,0,0,0,0,-6.75437478160935e-08,0,0.999996069134255,0.999971080867919
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58634772597955e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999923750637293,0,-0.99987543045363
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,1.04330296948025e-05,3.88410179029127e-05,0,7.05785801935955e-07,0,0,0,0,0,0,0,0,0,0,0,-3.28269893927608e-07,0.999814813855492,-0.999752606627947,0
