,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.000541944387332674,0,0.0837434971865355,0,0,0,0,0,0,0,0,0,0.163851685418227,0,0,0,0.0797792755443044,0.176583929407282,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.024061819153199,0.112311861872729,0,0.0481506620281788,0,0,0,0,0,0.148924034190557,0,0,0,0,0,0,0.140568219149816,0,0.0206854209273615,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0501289091151124,0,0.261083887713429,0,0,0,0,0,0.115351695147066,0.0147153439609704,0.251593968294524,0,0,0,0,0,0,0.108899558153483,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.103649836835411,0,0,0,0,0,0,0.00849100917372442,0,0,-2.16840434497101e-19,0,0,0.0219169044861664,0.0503749318154688,0.0872666217670884,0,0,0,0,0
X3328.HK.EQUITY,0.156160916106772,0,0,0,0,0,0,0,0,0.00973448677096067,0.0715962428702232,0,0,0,0,0,0.0521432181003979,0,0,0,0,0,0,0,0.0345360577542475,0,-0.018998872090991,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0889771133511089,0,0,0,0,0,0,0,0,0,0.121926239030217,0,0,0,0,0.152293572952974,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.159567298673669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285259530267705,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171796325262704,0,0,0,0.24356384134761,0,0,0,0.45035981113695,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0974166735316309,0.0252093670103216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10096119882716,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.0575919602200867,0,0,0,0,0.144472504790002,0,0,0,0,0.218691274858805,0.0675104011190054,0,0,0,0,0,0,-0.941839508329791,0,0.0583568335527542,3.46944695195361e-18,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22960060133437e-06,0,0,0,0,0,0,0,0,0,2.26064518929451e-06,0,0.999961890376285,0.9999515864458
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999953658814829,0,-0.999933073986292
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56135286196724e-05,0,0,0,0,0,0,0,0,0,0,0.999844248761781,-0.999866253281023,0
