,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.270513844163136,0.0830665288747031,0,0,0,0,0,0,0.164877751642995,0,0,0,0,0,0,-0.0069931619489597,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.432296959944014,0,0,0,0,0,0,0,0.0105505639464572,0,0,0,0,0,0,0.00100724788019274,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.212896752453538,5.11140176162763e-07,0.054506999729131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.111953817441405,0,0,0,0,0,0.0730010854442531,0.0947899301401907,0.172522001904292,0,0,0,0,0,-0.0118158077110449,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.456180602090525,0,0,0,0,0,0.0102667276236813,0,0.236723914491483,0,0,0,0,0.12394276453969,0,0,0,0,-0.0642178380204497,0,0,0.00462416400060686,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0405849921712213,0,0,0,0,0,0,0,0.0288810913257461,0,0,0,0,0,0,-0.180714388105668,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02625034107252,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78563082404729e-07,0,0.999963988539679,0.99991702553096
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744645242718606,0.471750398778559,0,0
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4181948649016e-05,0,0,-8.71165022333194e-07,0.99973796045522,-0.999676777099553,0
