,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2628.HK.EQUITY,0,0,0.487307334887865,0.0488957066051662,0,0,0,0,0,0,0,0,0,0.251411742842814,0,0,0,0,0,0,0,0,0,0,0.0232748052426775,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0423652811551167,0,0,0,0.129550154081361,0.0856882013158994,0.268752385187317,0,0,0,0.636403214296444,0,0,0,0,0.145313987112618,0,0
X601328.CH.EQUITY,0.239751447740306,0,0,0,0,0,0,0,0,0,0,0.15221254370925,0,0,0,0,0.18057001960938,0,0,0,0,0,0,0,0,-0.0162574941090853,0.00418028808023757,0,0,0
X3328.HK.EQUITY,0.702169953418875,0,0,0,0,0,0,0,0,0.0353735752448507,0,0.00282250105825189,0,0.0613423486388634,0,0,0,0,0,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.125928091614992,0,0,0,0,0,0,0.0494711748505725,0,0,0,0.0616361566682838,0,0,0.27054233824629,0,0,0,0,-0.0873506092987148,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.048849485643278,0.3187765289212,0,0,0,0.0405850807205192,0,0,0,0,0.323465923473259,0,0,0.136277557710181,0,0,0,0,0,0,0,0,-0.101049178125413,0.00415763013431503,0.0840891098412525,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.259372028433633,3.46944695195361e-18,0,0,0,0.197270454683775,0,0,0,0,0.752617878719813,0,0,0,0.0117240390930394,0.112323624202206,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.0922009374847922,0,0,0,0.443014017733709,0,0,-0.0500317698541144,0.0832862744633347,0,0,0,0,0,0,0.377637691668136,-0.0228742037703377,0.0955923383597378,0,0,0.0274298700965878,0.0158428456309901,0.0570678342029301,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156929741723031,0.493199207352486,0,-0.0054443544716345,0,0,0,0,0,0,0,0,-0.0269064953198818,-0.0696822034591428,0
X11.HK.EQUITY,0,0,0.0698847201489459,0,0,0,0,0,0,0,0,0.0695415796274108,0,0.032775239315901,0,0,0,0,0,0.238093179063238,0,0,0,0.0991419455815914,0,0,-0.011162188824779,0,0,0
X601601.CH.EQUITY,0,0,0,0.0361717633673546,0,0,0,0,0,0,0,0.0909748437035427,0,0.452623924810465,0,0,0,0,0.00185890981922592,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0.209876994062265,0,0,0,0,0,0,0,0,0,0.279967147202669,0,0,0.0635407163023905,0,0,0,0,0,0,0,0,0,0,0.0974785668296656,0,-0.0161704307339067,0,0,0
X2388.HK.EQUITY,0,0,0.199429888983121,0.0575308383251095,0,0,0,0,0.0647215000437596,0,0,0,0,0,0,0,0,0,-0.0159033292168822,0,0,0,0,0.348395731439663,0,0,-5.07035425982415e-05,0,-0.0241114112868717,0
FXI.US.EQUITY,0,0,0,-0.0475827977221707,0,0,0,0,0,0,0,0,0,-0.098453121877083,0,0,0,0,0,0,0,0,0,0,0,0,-0.202061972349342,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.61268964361023,0,0,0,0,0.143066601532437,0,0,0,0,0,0,-4.06284723065982,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.84322019094007e-07,0,0.999983163409685,0.999984207362365
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33296456003137e-06,0.999974861787016,0,-0.999973074713759
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24267090340416e-06,0,0,0,1.60446305389818e-07,0,0,0,0,0,2.80271059207436e-07,0.99996527998161,-0.999957752280708,0
