,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X000001.CH.EQUITY,0,0,0,0.0193969418555757,0,0,0,0,0,0,0.200752496488726,0,0,0,0.0735923972854632,0,0,0.342016167947359,0,0,-0.116870018485146,0.197830578917449,0.136525991165465,0,0,0.417440105394712,0.0523288640582422,-0.0965813576128965,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.154577382365753,0,0,0,0,0,0,0,0.0417076530248949,0,0,0.0942031652450418,0.540903782688551,0,0,-0.0225001875736405,0,0.112793227040518,0
X601601.CH.EQUITY,0.109548268967291,0,0,0,0,0,0,0,0,0,0.316210128799257,0,0.230147558832549,0,0,0,0.0972000941824117,0,0,0,0,0,0.135598890785571,0,0,0,-0.0288841266282598,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.132013313285014,0,0,0,0,0,0.464796274606634,-0.0540653957130378,0,0,0,0,0,0,0,0.0205452983340676,0.221623099510799,0,0,0.0626186612102157,0,-0.0122601109268063,-0.117443323555581,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.224752086534817,0,0,0,0.164336463344475,0,0,0,0,0,0,0,-0.0333857603898085,0.301636788206627,0,0,0,0,0,0.0120643761352088,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.435808878111899,0,0,0,0,0,0,0.105432194496737,0.151303605607147,0.00289109086303472,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0.10505069963084,0,0,0,0,0,0,0,0,0,0,0,0,0.07932219358418,0.000813404460236954,0,0,0,0,0,0,0,0,0,0,0,-0.141579832813337,0,0,0
VXFXI.INDEX,1.02353863995743,0,0,0,0,0,0,0,0,0,0,0,0,0.030807844705707,0,0,0,0,0,0,0,0,0,0,0,-5.56799459106285,0,0,0,-0.340826242413563
CN10YR,0,0,0,0,-3.08960745866008e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33550365575457e-07,0,0.999993367379405,0.999988172960648
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72732859859528e-07,0.999981996506536,0,-0.999967244285453
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,-1.53676532645984e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999929141920762,-0.999903504824108,0
