,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0.000518072154479208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398888041558327,0,0,-8.46384495396129e-05,0,0,0
X600036.CH.EQUITY,0,0,0,0.566208149270248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00205463452449476,0,0,0
X2628.HK.EQUITY,0,0,0,0.208302079486647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00729965361934673,0,0,0
X601628.CH.EQUITY,0,0,0,0.146577046369304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459286523801648,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0372763228318623,0,0,0,0,0.18468212997543,0,0,0,0.0146210660783106,0,0,0,0,0,0.00306003498887223,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.030377572416687,3.08635282522634e-07,0,0,0,0,0.108167208451807,0,0,0,0,0,0,0,0,2.7241221313941e-07,0,0
X601166.CH.EQUITY,0,0,0,0.172316595783894,0,0.0218560445929479,0,0,0,0,0,0,0,0.178450659335148,0,0,0,0,0,0.0814004813252467,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0
X601319.CH.EQUITY,0,0,0,0.29080534286192,0,0,0,0,0,0,0,0,0,0.233614084178868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.124997544032558,0,0,0,0,0.0400746497923939,0,0,0,0,8.91296027994671e-07,0,0,0.105715994728261,0,0,-7.66006626306606e-08,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.258615092304457,0,0,0,0,0,0,0,0,0,0.00866238202767116,0,0,0
X000002.CH.EQUITY,0,0,0,0.164732626057889,0,0,0,0,0,0,0,0,0,0.171785538567581,0,0,0,0,0,0,0,0,0,0,0,0,0.0145365955786063,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.116025641727308,0,0,0,0,0,0,0,0,0,0.448439515189046,0,0,0,0.0177708198761464,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.109339902243397,0,0,0,0,0,0,0,0,0.0228857157141292,0,0,0,0,0,0,0,0,0,0.0309250652574374,0,0,0,-0.00465071952661347,0,0,0
X2388.HK.EQUITY,0,0,0,0.0100721708449253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109028060431142,0,0,-0.00121009211938218,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131246487509732,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4269347849023,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456527616452052,0
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28520190946272e-06,0.999904698196046,0,-0.999850765816215
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12818089043566e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.71701651383657e-06,0.999880108131752,-0.999896842819021,0
