,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X5.HK.EQUITY,0,0,0.59186507228646,0,0,0,0,0,0,0,0,0,0.195796158368833,0,0,0,0,0,0,0,0.0705722237754515,0,-0.0782942656171787,0,0,0,0,0,0.0361269712763267,0
X388.HK.EQUITY,0,0,0,0,0,0,-2.16840434497101e-19,0.375538010784536,0,0,0,0.0897907477756217,0,0,0,0,0.230922384059918,0,-0.0143011641155686,0,0,0,-0.250302580282015,0,0,0,0.0179773733986749,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.000687620598693324,0.0403796411501245,0,0,0,0.198076466815258,0,0,0,0.0461536901307768,0.0471958531262502,0,0.256538386825789,0,-0.0197882087774768,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.213907603387763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476425799832915,0,0,0.0682983219451747,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.122881781540913,0,0,0.774485093085971,0,0,-0.0553191098664975,0,0.11233307161226,0,0,0,0,0,0,0,0.0707725819808833,0,0.133216821463464,0,-0.0393170820625167,0.0329130480784585,0,0
X000002.CH.EQUITY,0,0,0,0,0.0928899380362785,0,-0.102397447472815,0.048482889237297,0,0.152329581018916,0,0,0,0.0674747588652337,0,0.0867191493278234,0,0.0077202930586306,0,0,0,0,0,0.039903312631859,0,0,-0.0106665878173522,0,0,0
X601328.CH.EQUITY,0,0,0,0.142350824238221,0,0,0,0,0,0,0,0,0,0,0,0,0.0297878749324811,0.0075552281533812,0.00848072038220142,0,0,0,0,0,0.0550683271528519,0,-0.0179319716467353,0,0,0
X3328.HK.EQUITY,0,0,0,0,0.211930422353418,0,-0.00553741041139327,0,0,0.12006778027875,0,0,0,0.108366929047327,-0.206792287066056,0,0,0,0,0,0,0.0330758385122942,0,0,0,0,-0.0955375769456618,0.0360144487849708,0.019863530735062,0
X601066.CH.EQUITY,0,0,0,0,0.120727242462056,0,0,0,0,0,0,0,0,0,0.0507150710864789,0,1.02426258626808,0,0.231214071834748,0,0,0,-0.0556099612929632,0,-0.0612509027016645,0,0.00634217030869229,0,-0.163170515639863,0
X601601.CH.EQUITY,0,0,0,0.115656709353546,0,0,0.209524164253774,0,0,0,0,0,0,0,0,0.203989530187159,0,0,0,0,0,0,0,0,0.433647894254016,0,-0.0292789560249399,0.145708271121108,0,0
X600000.CH.EQUITY,0,0,0,0.0842609386689387,0,0,-0.0285686127102085,0.0277160539282659,0,0.0692753728629472,0,0,0,0,0,0,0.119432475308867,0.0174577336282777,0,0,0,0,0,0,0.1515150946197,0,-1.35525271560688e-20,0,0.00144631495139961,0
X601319.CH.EQUITY,0,0,0,0.150393576468434,0,0,0.111120181030536,0,0,0,0,0,0,0,0,0,0.0318351498510303,0.269243047833017,0.132044917855151,0,0,0,0,0,0,0,0,0,0,-0.0501225600803674
FXI.US.EQUITY,0,0,0,0,0.23176369608062,0,0,0,0,0,0,0,0.117678752873879,0,0,0,0.0643713195126653,0,0,0,0,0,0.0231283183903046,0,0,0,-0.137354799157049,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00634213580174052,0,0,0.171465328141959,0,0,0,0,0,0.0457621774692005,0,0,0,-1.88879053453995,0,0,0,-0.278308104550802
CN10YR,0,0,0,0,0,0,-9.37651684743501e-07,0,0,0,0,0,0,4.81334796721001e-07,0,0,0,0,0,0,0,0,0,0,0,0,4.68188060616878e-07,0,0.999993725383604,0.999996502868882
CN2YR,0,0,0,0,0,0,1.98075430594115e-06,0,0,0,0,0,0,1.32348898008484e-23,2.08882882599881e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.99997048443739,0,-0.999965876678524
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74667355962525e-07,0,0,0,0,0,0,0,5.29072853936047e-06,0,0,0,0,0,0.999977542498251,-0.999972722445558,0
