,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346977336975532,0,0,0,0,0,0,-0.00120846400088863,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153478456040558,0,0,0,0.0836820218164372,0.0729381771576053,0.0232458431908584,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743624357819547,0,0,0.46012896060332,0,0,0,0,0,0,0,0,-0.0078470303331758,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113941615723699,0.154019453726332,0,0.000508125353067847,0.307722921652791,0,0,0,0,0.12396175510281,0,0,0,0,0,0,-0.00289504257572969,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.35611333205305,0,0,0,0.0237448794097747,0,0,0,0.0665639812861242,0,0,0,0,0,0,0.000820342619337999,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.22512581940862,0.0213955022317444,0.0245524193358192,0,0,0,0,0,0,0,0,0,0,0.0255093837660127,0,0.00017790203849661,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865096825610774,0,0,0,0,0.0461139091461499,0.172426432189098,0.179879708030095,0,0,0,0,0,-0.0123566151938915,0,0,0
X688.HK.EQUITY,0,0,0,0,0.431663746586194,0,0,0,0,0,0,0.015043859533239,0.235897250829108,0,0,0,0,0,0.105695992667767,0,0,0,1.38777878078145e-17,0,0,0,0.00499428025188853,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0438832407918641,0,0,0,0,0,0,0,0.0272107975833691,0,0,0,0,0,0,-0.180655939358804,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.99777303498635,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25856510696953e-07,0,0.999960963682294,0.999912137721169
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265645864854854,0.42169510483056,0,0
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.878142901005e-06,0,0,-2.08415840485045e-07,0.999894175173913,-0.999864000692682,0
