,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204640169437115,0,0.412501299062929,0,0,0,0,0.024585159798734,0,0,0,0,0.000806224317379247,0.00809682389532676,0,0.0279830479459477
X601319.CH.EQUITY,0,0,0,0.108661348158985,0,0,0,0,0,0,0,0,0.297769316268285,0,0,0,0,0,0,0.219123789785792,0,0,0,0,0,0,0.0021100862243051,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0552165937186965,0,0.677796040196429,0,0,0,0,0,0,0,0,0,0,0,0,0.00426961204986772,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.222724175420766,0,0,0,0,0.13916228388494,0,0,0,0,0,0,0,0,0,-0.00228375543438859,0.025196736050068,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.104291612687479,0,0,0,0,0.414374119276185,0,0,0,0,0,0,0,0,0,0,0,0.12509254246401,0.21181896313045,0,-0.0156666416494464,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.034478920059374,0,0.109781892439967,0,0,0,0,0,0,0,0.0482628393896208,0,0,0.233787333222272,0,-0.0038779439928383,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.238696753735543,0,0,0.0341655420859395,0,0,0,0,0.103346270111875,0,0.180893796804533,0,0,0.0596882392246059,0,-0.00971888281793667,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103794908753337,0.23180255758366,0.331689938157954,0,0,-0.00677534228424377,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117006858270654,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122125152595356,0,0,0,0,0,0,-3.36894118223943,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.13805979555132e-07,0,0.999956240480935,0.999956475581908
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64605525977399e-06,0,0,0,0,0,0,0,-1.1075579974808e-06,0.999961214176702,0,-0.999949008774364
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958854013613,-0.999947420487271,0
