,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.215962492582519,0,0.0899943790003549,0,0,0,0,0,0,0.0873606461141665,0,0,0.155444262660486,0.154845357491192,0,0,0.00498900352439666,0,0,0
X2628.HK.EQUITY,0.0253087440549761,0,0,0,0,0,0,0,0,0,0,0.0820883688552395,0,0.245405312737957,0,0,0,0,0,0,0.171016423637257,0.029061147147449,0,0,0,0,0.00418689226693129,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.576312643263933,0,0,0,0,0,0,0,0,0,0.204642269054036,0,0,0,0.0089368044666175,0.111300337097937,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112705530944272,0,0,0,0,0,0,0,0.147281004337485,0.113107902146214,0,0,0,-0.00929779145448324,0,0,0
X3328.HK.EQUITY,0.122713651061015,0,0,0,0,0.323186794498205,0,0,0,0,0,0.0994888594049859,0,0,0,0,0,0,0,0,0,0.0363013340425605,0,0,0.00605708557036432,0,0.00158752165824536,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881546874907523,0.00607007414790648,0,0.0979415800772602,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417183865441038,0,0,0.0219693535072378,0,-0.000186579705649664,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689383123777332,0.23864792882771,0,0,0,0,-0.0136451058769763,0.116152182440784,0,0
X388.HK.EQUITY,0.0521109080828319,0,0,0,0,0,0,0,0,0,0,0.226625052462932,0.0525759487855001,0,0,0,0,0,0,0,0,0.14249403651365,0,0,0,0,0.00308656325655613,0,0,0
X16.HK.EQUITY,0,0,0,0.0176528690247492,0,0,0,0,0,0,0,0,0.226538097023251,0.0341592181431438,0,0,0,0,0,0,0,0,0,0.155531125563401,0,0,-0.000577761465197334,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13629353296549,0,0,0.425587647716286,0,0,0,0,0,0,0.0734543959453651,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0465651328077318,0,0.0935928048818519,0.0119943866232686,0,0,0,0,0,0,0.365363531852227,0,0,0,0,-0.00162362537487714,0.0919258385475756,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.275933899306314,0,0,0,0,0,0,0,0,0.151939263268839,0,0,0,0,0,-0.00206322864816464,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139505230009141,0,0,0,0,-2.16840434497101e-19,0,0,0.323636697707704,0.0703218916473201,0,0,0,-0.00494740107333364,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196053461171337,-0.0445931292138332,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.84569154439025,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42905132989114e-06,0,-2.19481737295397e-07,0,0.999953614924365,0.99992711797835
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141523495372163,0.481089814856491,0,0
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95572927952468e-07,0,-2.30729486568617e-07,0.999876541332211,-0.999786759214104,0
