,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.420498833126665,0,0,0.0617970979820218,0,0,0,0,0,0,0,0,0,0.361606743148518,0,0,-0.0262556305654886,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.360932146365952,0,0,0,0,0,0,0,0,0,0,0.0217108514808103,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.141069912094811,0,0.3241755111136,0,0,0,0,0,0,0,0,0,0,0.0397154588230841,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0231854959007271,0,0.0520021592270425,0,0,0,0,0,0,0.0391278484095391,0,0.0112537308217584,0,0.00910351886717188,0,0,-0.00329550962778578,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.187153379007038,0,0,0.157708247415757,0,0,0,0,0.0281153490375763,0,0,0,0,0,0.0273098376570848,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.272272711962973,0,0.0919584079488676,0,0,0,0,0,0,0,0,0,0,0.0576955443860208,0,0,-0.0106931178587853,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0603894806432392,0,0.0719371993946365,0,0.0128716695367519,0,0.0474809657927848,0,0,0,0,0.0787293418835808,0,0.0367837553199752,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.119209096865816,0,0,0,0,0,0,0,0.0328945464414824,0,0,0.214317553296469,0,0,-0.00860016444623727,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.142996197103532,0,0,0,0.0687789515867686,0,0,0,0,0.0526949602482848,0,0.0963633781927145,0,0,0,0,-0.0146749192936216,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.122330922867003,0,0,0.229656625039882,0,0,0,0.15482123937478,0.116152214805379,0,0,0,0,0,0,0,0,-0.00237211307325086,0,0.0603631441927769,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.493679467938294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0299793109093846,0,0.592065562853727,0,0,0,0,0,0,0.102783260046069,0,0,0,0,0,0,0.00324025627217134,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0591269213739471,0.0369537146613273,0,0.00145502435282412,0,0,0,0,0.0158229841431838,0,0,0,0.0509622323021609,0,0.0424435341428984,0,0,-0.0180864479764464,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20549893513468,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20592002031859,0,0,0,-0.269403263883948
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999989103659329,0.999986790866586
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96666177852163e-07,0.999966091939104,0,-0.999963688486798
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0959886743111e-07,0.999982775417624,-0.999986693834598,0
