,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.0287644978699418,0.055487070144141,0,0,0,0,0,0,0,0.015075460877487,0,0,0,0,0,0.0528666780228325,0.0359644496069659,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.0659434312386613,0,0.09037371890427,0,0,0.023759767108935,0.0290272785898189,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,-0.0376663771087842,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.125165705377203,0,0.0386662833281216,0,0,0,0.0737988845680035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.134202222211652,0,0,0,0,0,0,0.0889102719192005,0,0,0,0.0360851774727086,0.140896578199523,0,0,0,0,0.0374847105975736,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.111668365203933,0.0892327497628548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183413903862403,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.190198514440344,0,0,0,0,0,0,0,0,0.33985054785695,0,0,0,0,0,0.0399497215498941,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0549574362119951,0,0,0,0,0,0,0,0,0,0,0,0,0.0839803320205324,0,0,0.130974586848715,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642369259932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.0286828433971702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000909861326049894,0,0.145689620673777,0.0832465430094932,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0467679788484659,0,0,0,0,0,0,0,0,0.00884100066504862,0,0,0,0.0354096314023851,0,0.0365772806815828,0.0323087953995665,0,0,0,0,0
X3328.HK.EQUITY,0.0217953407960384,0,0,0,0,0.0869733039854171,0,0,0,0.0371548852919169,0,0.026529460084896,0,0,0,0,0,0,0,0,0,0,0,0.00570658887804556,0.00587781606417511,0,-0.0249057779434068,0.00645681995347645,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.042354310783039,0.0316712265547103,0.12921062500049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850811419653935,0.243055334586352,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.0520597893841396,0.0587692699654348,0,0,0,0,0,0,0,0.010540912809476,0,0,0,0.0385374949203604,0,0.0687617271599848,0.0279796465776896,0,-0.00266367430950146,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.261041205627784,0,0,0,0,0,0,0.10036990819444,0,0,0,0,0,0,0,0,0.0966215210052548,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.241494901801951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220352652602374,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.0741214323797881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059000103046506,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,-0.14570983995313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.531363613149392,0,0,0,0.570029078439146
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11429484417149e-07,0,0,0,0,0,0,0,0,0,0,0.999963068117738,0.999941707029596
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999979184160866,0,-0.999958299170405
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99722181816925e-06,0,0,0,0,0,0,0,0,0,0.999951682603729,-0.999957422391186,0
