,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185223721048588,0,0,0,0,0,0,0,0.024523310278601,0,0.225514178890558,0,0,0,0.0555013701166664,0,0
X388.HK.EQUITY,0,0,0,0,0.0284314555796453,0,0,0,0,0,0.380095004101864,0,0,0,0,0,0,0,0,0,0.0487883286740287,0.0155004826566786,0,0.174221046099636,0,0,-0.0113812422790049,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0512906156873279,0.0765827721835024,0.146958290303098,0.264764585631804,0,0,0,0,0,0,0,0,0.0569059598270864,0,0,0,0,0.101398203612098,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.24450183297199,0,0,0,0,0,0,0,0,0,0,0.483031320108415,0,0,0,0.138113828818647,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.269947822736038,0,0.300555395155138,0,0,0,0,0.0956471918994256,0,0,0.07019458689951,0,0,0,0,0,-0.00274872225614553,0.0840942645845095,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.235824913842234,0,0,0,0.285577134779541,0.0326035068290225,0.393755071656878,0,0,0.0693675370511791,0,0,0,0,-0.0101967563189066,0,0.0365310940236009,-0.0485642574154958
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0632484095042263,0,0,0,0,0,0.15363425432437,0,0,0.0327982574911921,0,0.124288988089429,0,0,0.00321606998900496,0.0851701359609299,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0178056269749103,0,0,0,0,0,0,0,0,0,0,0.134209080035292,0,0,-0.236480446780922,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0.150716084969705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80373597375588,0,0,0,-0.0807980543544681
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96298808466607e-07,0,0.999996064160384,0.999995703288167
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63607079667001e-07,0.999993309775302,0,-0.999989519780729
CN210SLOPE,0,0,0,0,-3.58367646179079e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.79724445533432e-08,0.999991330874673,-0.999983096256466,0
