,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0,0.506227798166033,0,0,0,0,0,0,0,-0.0276361335671539,0,0,0,0.308522669720843,0,0,0,0,0,0.133762846257544,0.167280661805731,0,0,0,0.0168833787762577,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204426126250786,0,0,0,0,0,0.0574319809111007,0,0,0.396536842453333,0,0.138004175066521,0,0.00327292343859041,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00558896866155029,0.116692413110641,0,0.0153812714118231,0,0,0,0,0.327434212843322,0,0,0,0.237585626982143,0,-3.46944695195361e-18,0,0.00110979175875715,0,0,0
X601628.CH.EQUITY,0,0,0,0.0700781325411768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227124521645064,0.401606726949752,0,0,0,0,0,0,0.00423764689773631,0,0,0
X601328.CH.EQUITY,0.0899542783350763,0,0,0,0.000939755719421019,0.0204329551026499,0,0,0,0,0,0,0.0654411285884509,0,0,0.145481374919642,0,0.151085754756113,0.0237039904710581,0,0,0.0426321859696217,0,0,0,0,-0.00234514162346678,0,0,0
X3328.HK.EQUITY,0.42891959795978,0,0,0,0,0,0,0,0,0,0.0205201331590358,0,0.0154471459612725,0,0,0,0,0,0.0928983402439502,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.367131538361711,0,0,0,0.0789715578614558,0,0,0.183980242138291,0,0,0,0,0,0.199306535225693,0,0,0,0,-0.0246975081689071,0,-0.00363488101013523,0.0327219944338152,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.131741572915626,0,0,0,0,0.09796177888001,0.0527703641362265,0,0,0.255814727781588,0,0,0.0561207169738114,0,0,0,-0.00143381848497822,0,0,0
X601319.CH.EQUITY,0,0.167718701944015,0,0.168066472398178,0,0,0,0,0,0,0,0,0.218182892745632,0,0,0,0,0,0,0.419954168060034,0,0,0,0,0,0,-0.0193818447445474,0,0,0
X601601.CH.EQUITY,0,0,0,0.392372699732099,0,0,0,0,0,0,0.0169756123063761,0,0,0.31853026770298,0,0,0,0,0,0,0,0.124429850761741,0,0,0,0,5.46352249619582e-05,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.051841114176043,0,0,0,0.110457264464704,0,0,0,0,0,0,0,0,0,0.237894226104933,0.257129911413149,0,0,0,0.00894578541869001,4.33680868994202e-19,0,0
X000002.CH.EQUITY,-0.0937051029998684,0,0,0,-0.275949519648094,0,0,0.485112194298288,0,0,0,0,0,0.113954240636991,0,-0.128510244270414,0,0,0,0.41496050304627,0,0,0,-0.372639516079001,0,-1.73472347597681e-18,-0.0104424527702242,0.101022863512077,0.265766915865704,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.157414585470747,0,0,0.0301705383987641,0,0,0,0,0,0.457088177531477,0,0,0.237702720594775,0,0,-0.0249607947250281,0.157688930471925,0.0281340841025086,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.202920636362931,0,0,0,0,0,0,0,0,0,0.144029727266138,0,0.140960533241609,0,0.0725510311375663,0,0,0.0670961789695078,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.633222798782714,0,0,0,0,0,0,0,0,0,-0.0845446557656754,0,0,0,0,-0.0203737920467992,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.075955150708145,0,0,0.0199015459068991,0,0,0,0,0,0,0,0,0,0,-0.139757902034926,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.307250635689081,0,0,0,0,0,0,0,0,0,0,0,0,-4.8745836739866,0,0.29817380536831,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33726441903808e-07,0,0,0,-3.55938217698365e-07,0,0.99998360254759,0.999970712097559
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.90528693083249e-06,0,0,0,0,0,0,0,-4.5524921561264e-07,0.99998014889188,0,-0.999965963307838
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75515855989356e-06,1.36075611440265e-06,0,0,0,0,0,0,0,0.999961277309593,-0.999952337097075,0
