,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0813673252272772,0,0,0,0,0,0.0633946282566525,0,0.218757958749765,0.0297276795416651,0,0,0,0,0,0.000553184467244128,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0187683173353287,0,0,0,0,0.0570031369592416,0,0.0332035853010169,0,0,0,0,0,0,0,0,0.235625115590079,0,0.108721943213812,0.20927687868245,0,0.0101919875728147,0,0,0
X601628.CH.EQUITY,0,0,0.0489280677395002,0,0,0,0,0,0,0,0,0.0922732321297108,0,0.266870433058555,0,0,0,0,0,0,0,0,0,0,0,0,0.00712069672113591,0.146068024060381,0,0
X2628.HK.EQUITY,0,0.106596893794059,0,0,0,0,0,0,0,0,0,0.157865211083837,0.144052229141911,0,0,0,0,0,0,0,0,0.0727337847350908,0,0.114170505009571,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0966806714998883,0,0,0,0,0,0,0.204082421803031,0,0.0202952297643734,0,0,0.0471855630463649,0,0,0,-0.00577986010789942,0,0,0
X3328.HK.EQUITY,0,0.014800007457624,0,0,0,0.374787294493485,0,0,0,0,0,0.19320117149735,0,0,0,0,0,0,0,0,0,0.0237500353980459,0,0,0,0,0.00429938193842901,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296213906741886,0,0,0,0,0.0427741312084873,0,0,0,0.00263337430509139,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0704024023442997,0,0,0,0,0,0,0,0,0.274971812625425,0,0.0481754097561964,0,0.0308877796126323,0,0,-0.00840944623830284,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676298117097541,0.129081441347378,0,0.0887975111641024,0.0608115991639599,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254162237558352,0,0,0.378199954386842,0,0,0.119775648221362,0,0,0,0.0688552473334601,0,0.00506944178850186,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0739103530250136,0,0,0.203209997913027,0,0,0,0,0.0642807003385659,0,0,0.085810165063829,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.259098669557578,0,0,0,0.282360796829977,0.0277283668425063,0.0895443214502918,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0418970565655509,0,0,0,0,0,0.139712297902532,0.196954197996779,0.278933215934136,0,0,0,0,0.0200738016982157,-0.014080642394646,0.0695446498150681,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0871780831745024,0,0,0,0,0.14209610581983,0.0664476921008209,0,0.142172704614406,0,0,0,0,0.174768150372928,0.082754094685537,0,0.134988136820134,0,0,0,0,0.00467911425370274,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.307348725265973,0,0.0802852232399586,0,0,0,0,0,0,0,0,0,0.0432948551309288,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145860494549594,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.0768429048009257,0,0,0,0.781810491913757,0,0,0,0,0,-0.116379400954657,0,0,0.199606285612176,-0.565694670984485,0,0,0,-4.43288179107774,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89571625996976e-08,0,0.999977195499251,0.999966894162269
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99985307737789,0,-0.999748059070759
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225573380363187,0,0,0,0,0.25374851276112,0,0
