,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X000002.CH.EQUITY,0,0,0,0.162288472343305,0,0,0,0,0,0,0,0,0,0.0711868656782499,0,0,0.105342185987621,0,0,0,0,0,0,0,0,0,0.0083059935517808,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.244249900012884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0.0237414311006307,0,4.33680868994202e-19,0.0320635405186641,0,0,0,0,0,0,0,0.0735296968478358,0,0,0,0,0,0,0,0,0,0.0295798954635689,0,0,0,0,-0.00114784038007567,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0796343519536244,0.183823772733641,0,0,0,0,0,0,0.0527109211971309,0,0,0,0,0,0,-0.00526062659888891,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0344687302527236,0.0981579514355112,0,0,0,0,0,0,0,0,0,0,0.148188995612961,0,0,-0.00494654527283276,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126024127004008,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.22292790312002,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.74664745337494e-07,0,0.999978828615695,0.999965724533886
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51486050359135e-07,0.999939028574619,0,-0.999909004540456
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09040174085934e-06,0,0,0,0,0,0,0,0,0,0,0,0,3.72050418895335e-07,0.999982662784979,-0.99997178004731,0
