,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950475568799494,0,0.551114366048057,0,0,-0.00126727730173184,0,0,0
X2628.HK.EQUITY,0,0,0.0802603649756456,0.0227440260997481,0,0,0,0,0,0,0,0,0,0.0253526022203403,0,0,0,0,0,0,0,0,0,0.0900150367939133,0,0,-5.42101086242752e-20,0,0,0
X601628.CH.EQUITY,0,0,0,0.182896565316214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128184349194607,0,0,0,0.446809206462877,0,0,0,-0.000554647387885281,0,0,0
X3328.HK.EQUITY,0.344985131022021,0,0,0,0,0,0,0,0,0,0,0,0,0.00791088961900516,0,0,0,0,0,0,0,0.0797367128765416,0,0,0,0,-0.00435159170549244,0,0,0
X601328.CH.EQUITY,0,0,0,0.0537885209733623,0,0,0,0,0,0,0.0674245448943681,0,0,0,0,0,0.057386322604548,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.1800460255286,0,0,0,0,0,0,0,0,0,0.177884198697542,0,0,0,0.0706613639735392,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.0153074998027324,0,0,0,0,0,0,0.0364990618186236,0,0,0,0,0,0.310178688732281,0,0,0.00757087560184554,0,0,4.33680868994202e-19,0,0,0,0.00839853629684278,0,0,0
X601319.CH.EQUITY,0,0,0,0.305178616821846,0,0,0,0,0,0,0,0,0,0.315470679151911,0,0,0,0,0,0,0,0,0.12957039230781,0,0,0,0.0241396067185495,0,0,0
X000002.CH.EQUITY,0,0,0,0.166355536067775,0,0,0,0,0,0,0.0282257722994972,0,0,0.0716984227372044,0,0,0.0459085552942523,0,0,0,0,0,0,0,0,0,0.00883293758031808,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0782728353320186,0.0314972592771073,0,0,0,0,0,0.0058081445771707,0,0,0,0,0,0,0,-0.000352282107341171,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.17920585009431,0,0.011471984151518,0.040028721828791,0,0,0,0,0,0,0,0,0.0922634780668984,0,0,0.00192959407879678,0,0,0
X601601.CH.EQUITY,0,0,0,0.152255079857412,0,0,0,0,0,0,0,0,0,0.352509565960662,0,0,0,0,0.0581476818602611,0,0,0,0,0,0,0,-0.0030738728544153,0,0,0
X388.HK.EQUITY,0,0,0.0285049074707419,0,0,0,0,0,0,0,0,0.0841397862048135,0.276261410061953,0,0,0,0,0,0,0,0,0,0.0440244516124198,0,0,0,-0.0052018231610946,0,0,0
X2388.HK.EQUITY,0,0,0.0186625660523598,0,0,0,0,0,0,0,0,0.0295851217855461,0.0803423169620316,0,0,0,0,0,0,0,0,0,0,0.17657092724993,0,0,-0.00456217336791354,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135661972547917,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.71325477910813,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.02491502564439e-07,0,0.999971494439374,0.999960364300448
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39653366517049e-06,0.999898452935883,0,-0.999869688714243
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51377670387173e-08,0.999971410671219,-0.999978839244056,0
