,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.111662365104125,0,0,0,0,0,0.0907397473333618,0.0483027787144463,0,0.0167097676688856,0,0,0,0,0,0,0,0,0,0.0156436581051461,0,0,0
X5.HK.EQUITY,0,0.184070771595202,0,0,0,0,0,0,0,0,0.0208525710603869,0,0.126479525530325,0,0.0545059525866528,-0.0216304394617009,0,0,0.0649871854840598,0,0,0,0,0,0,0,-0.0207449182915266,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.103508684361509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.247573374005676,0,0,0,0,0,0,0,0.358518506888769,0,0,0,0,0,0,0,0.0449330182560483,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,-0.024484477256279,0,0.175950599109261,0,0,0,0,0.952352523448379,0,0,0,0,0,0,0,0,0,0,0,0.139737759321739,0,0.0702939474888074
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0231485532648032,0,0,0,0,0,0,0,0,0,0,0,0,0.218287007988702,0,0,0.200724707081583,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212454402772015,0,0,0,0,0
X3328.HK.EQUITY,0,0.385875989243574,0,0,0,0,0,0,-0.0134523916696387,0,0.0796305398517241,0,0.0579877833597836,0,-0.0175899129755481,0,0.0510392441666865,0,0.0443434971407482,0,0,0,0,0,0,0,-0.00179087195027977,0,0.0268638028886024,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0142395175337623,0.0904821263834581,0,0,0,0,0,0,0.00950522019028215,0,0,0,0,0,0,0,0.0839097295863466,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.030090801870742,0.270570559757447,0,0,0,0,0,0.0418419368996821,0.0539970772727336,0.270227860907297,0,0,0,0,0,0,0.104955264089734,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.245734247850606,0,0,0,0,0,0,0.0233558646393978,0,0,0,0,0,0,0,0.124116288138371,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.194794993080411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316255062463446,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168878116558349,0,0,0,0,0,0.137418580719947,0,0.586849299759438,0,0,0.0344088391745427,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.0888172578378137,0,0,0,0.0885018847594563,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100048630210175,0.0636796601303046,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,-0.0159016624171544,0,0.21941491166323,0,0.376458037753565,0,0,0,-0.0733027768591331,0,0.180282948788281,0,0,0,0,0,0,-0.759866063208123,0,0,0,0.142092890904357
CN10YR,0,0,0,0,0,0,0,1.8623623998618e-06,0,0,0,0,0,0,0,0,9.38102090074284e-06,0,0,0,0,0,0,0,0,0,0,0,0.999951477758488,0.99990727388226
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21266320694214e-06,0.999965846085737,0,-0.999943759122615
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0346168594899e-05,0,0.000131174785356236,0,0,0,0,0,0,0,0,0,3.64228624207957e-05,0.998658973025661,-0.998906592187827,0
