,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601628.CH.EQUITY,0,0,0.475787815328522,-0.172653543269987,0,0,0.018146154430809,0,-0.0930239234092965,0,0,0,0,0,0.14455873064008,0,0,0,0.158999282071322,0.171457509811941,0,0,0,0,0,0,-0.0227759630021084,0,0,0
X2628.HK.EQUITY,0,0.0884291009312336,0,0,0,0,0,0,0,0,0.102691868249531,0,0,0,0,0,0,0,0.265360951364663,0,0,0,0,0,0.32312832139123,0,0.00459779183553034,0.0457545661047345,0,0.1462337274179
X601166.CH.EQUITY,0.000653098336400698,0.0828631594547055,0,0,0,0,0.363843131299403,0,0,0,0.0544993851953797,0,0.0233163251820972,0,0,0,0.0294669833527878,0,0,0,0.164160135155192,0,0,0,0,0,0,0,0,0.0564183852327739
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0893645171659651,0,0,0,0,0,0.232496687162129,0,0,0.00522827604329548,0,0,0,0,0,0,0.00208977046106173,0.0776897467415272,0,0
X3328.HK.EQUITY,0,0.692669072577576,0,0,0,0,0,0,0,0.0322397880264241,0,0,0.0350153357743416,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0394421634537714,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189630056030084,0,0.204568648512936,0,-0.000227885164778157,0,0,0,0.135851760297475,0,0,0,-0.00413655429612638,0,-0.0549512406837964,0
X601319.CH.EQUITY,0,0,0.336258418459667,0,0,0,0,0,0,0,0,0,0,0.197601817826448,0,0,0,0,0,0.601820966996755,0,0,0,0,0,0,0.0199928077079823,0,0,0
X601601.CH.EQUITY,0,0,0.147935164725781,0,0,0,0,0,0,0,0,0,0.481663662769307,0,0,0,0,0,0.0761294635116769,0,0,0,0,0,0,0,-0.00439486566964663,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.103303699305375,0,0,0.283312869054905,0,0,0,0,0.187772927372968,0,0.315523778726799,0,0,0,-0.189102621218852,0,0.101442142550313,0,0.190576353739864
X11.HK.EQUITY,0,0.143220855452963,0,0,0,0,0,0,0,0,0.170847709387143,0,0,0.0093910994865438,0,0,0,0,0,0,0.0923210418474675,0,0.213098397147405,0.0625391379493681,0,0,-0.0151573590023834,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.119898183489624,0.274736834454411,0,0,0.0547618988797415,0.0483718044630586,0,0,0,0,0,0.585815126596058,0,0,0,0,0,0.0395768686871895,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.3376364749365,0,0.0196034323856161,0,0,0.0945305423291624,0,0,0,0,0,0,0,0.139542678189142,0,-0.0140505359453573,0.0483985525119449,1.73472347597681e-18,0
X2388.HK.EQUITY,0,0,0,0.337656175570091,0,0,0,0,0,0,0,0,0,0.165434478460284,0,0,0,0,-0.0404511380958232,0,0.0435181614959036,0.221900179291845,0,0,0,0,-0.0162740401538698,0,0,0.0548060448893276
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.086186265798137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183558507502267,0,0,0
VXFXI.INDEX,0,0,0,0,0.904091582307237,0,0,0,0,0,-0.137204650999564,0,-0.807601236469582,0,0,0,0.0910492525820625,0,0,0,0,0,0.162836227715738,0,0,-5.05715770385983,0,0,0,0.460356949100454
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.88191487292573e-07,0,0.999982637731726,0.999984967231322
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.90242362739344e-07,0,0,0,0,0,0,-2.63791917769567e-07,0.99999057885711,0,-0.999992048605201
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25496980301029e-07,0,0,0,0,0,0,3.39647601078174e-07,0.999985587096857,-0.999982155956705,0
