,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.542662497865417,0,0,0,0,0,0,0,0,0,0.128942299983863,0,0,0,-0.00967664211358003,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.311939721888469,0,0,0.163992827266035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629607370327977,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.146145972081499,0,0,0.401367141539026,0,0,0,0,0,0,0,0.0593934945398368,0.217729812482585,0.00406988931093943,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.394245944861303,0,0,0,0,0,0,0,0,0,0,0.195725008252373,0,0,0.0163762160891916,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0217135424334004,0,0,0,0,0,0.00829600991728065,0,0,0.0135494377421031,0,0.195437800690226,0,0,0.00173164495183244,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.403800545088969,0,0,0,0,0,0,0,0,0,0.129576227911451,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.142911044411005,0,0,0,0,0,0.0603389530280271,0,0,0,0,0.433605556456756,0,0,0.000269113880993941,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0123324268970179,0.00821887366767439,0,0,0.0324772908792753,0,0,0,0,0.0459689984723839,0.0603349597907472,0.312333846682538,0,0,0,0.0699730127113041,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743345549361041,0.326367032922835,0.284960879853069,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.252594936826123,0,0.160788186900765,0.0326878370968252,0,0,0,0,0,0,0,0.0789189968852327,0,0,0,0,-0.000809775635238624,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.268950138375799,0,0.264282528604668,0,0,0,0,0,0,0.00790518528984793,0,0,0,0.0110542060306974,0,0,-0.00700946538070614,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.18504788078254,0.12411306491648,0,0,0,0,0,0,0,0,0,0.299633836223842,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0266577143672482,0,0.369857520245599,0,0,0,0,0,0.312822985989366,0,0,0,0,0,0,0,-0.000418694264739654,0.0518171556115763,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.340941661980019,0,0,0,0.19458077088058,0,0,0,0,0.0347532552383038,0,0,0,0,0.000496175453597365,0,0.0524518957861219,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0631507886670657,0,0,0,0,0,0,0,0,0.0667046157094727,0.00270663743342421,0.159347412589174,0,0,-0.00118013303399551,0.0227603625003379,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181040985200584,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25687762436582,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55652120372957e-06,0,0,0,-4.79695076884751e-08,0,0.999994692628305,0.999992057832621
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45783226865074e-06,0.999866572690199,0,-0.999731632369224
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32357911935098e-07,0.999927850232264,-0.999875865235454,0
