,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2628.HK.EQUITY,0,0,0.0939183402885705,0,0,0,0,0,0,0,0,0,0,0.115809741305028,0,0,0,0,0,0,0,0,0,0,0,0,-0.010542492444767,0,0,0
X601628.CH.EQUITY,0,0,0.0660155754061581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789984082519107,0,0,0.0426501768850597,0,0.493361312139564,0,0,0.00754712870612565,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0329812389395033,0,0,0.0352944193002661,0,0,0.21544150386154,0,0,0,0,0.0169980441901112,0,0,0,0,0.00103553454069514,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954942020634427,0,0,0,0,0,0,0,0.0212714706659391,0,0
X601166.CH.EQUITY,0,0,0.195645728294227,0,0.0554613389560932,0,0,0,0,0,0,0,0,0.148607063933019,0,0,0,0,0,0,0,0.00868464975801818,0,0,0,0,-0.00739818532475168,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423616151628956,0,0,0,0,0.0168930544614357,0,0,0,0,0.00557088644702146,0,0,0
X601319.CH.EQUITY,0,0,0.238517330665932,0,0,0,0,0,0,0,0,0,0,0.239967436431459,0,0,0,0,0,0,0,0.113088655393042,0,0,0,0.0478203463176008,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221734963574451,0.0977509909617747,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.062983288228109,0,0,0,0,0.0136701722814942,0,0,0.0216303591187397,0,0,0,0,0,0,-0.000646256975396873,0,0,0
X000002.CH.EQUITY,0,0,0.384864756357215,0,0,0,0,0,0,0,0.11846690342608,0,0,0,0,0,0,0,0.116845021186336,0.0530035878940692,0,0,0,0,0,0,0.00898641621684699,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.168990186373134,0.0765587440449228,0,0,0,0,0,0,0,0.0571866203501042,0,0,0,0,-0.00670152476900616,0,0,0
X601601.CH.EQUITY,0,0,0.0948544130078141,0,0,0,0,0,0,0,0,0,0,0.4819164864776,0,0,0,0,0.0183783091807485,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0.0626136125640616,0,0,0,0,0,0,0,0,0,0,0.00147596466260921,0,0,0,0,0,0,0,0.0235913261748232,0.145692279783706,0,0,0,-0.00626189388293685,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128095127134242,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82418396087017,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.13842664945637e-07,0,0.999898777934227,0.999844155401948
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16516949076466e-06,0.999967723556174,0,-0.999957857185593
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45825741928523e-06,0.999908422179943,-0.999917824048929,0
