,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600036.CH.EQUITY,0,0.0321239451961396,0.283274983280887,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.190858862792356,0.0648019037179667,0.0843764056931526,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788716038492622,0,0,0,0,0,0,0.0415791232824249,0.191902971473383,0,0.400265098546122,0,0,-0.00317347821850498,0,0,0
X2628.HK.EQUITY,0,0,0,0.137445377290829,0,0,0,0,0,0,0.0311494070698575,0.0466831913792655,0,0,0,0,0,0,0,0.133725026571365,0,0.030814464300208,0,0.169339172490772,0,0,-0.00867398420878495,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479602365436967,0,0.430534839315891,0.267693613463337,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0352181053427678,0,0,0,0,0.0345844515492524,0,0,0,0,0.0947620278261302,0,0.0668125920769023,0,0,0.0173064789091493,0,0,0,0,0,0.00385534879779793,0,0,0
X3328.HK.EQUITY,0,0.145760864986165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986576711425962,0,0,-0.00474118665148083,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118760789856429,0,0,0,0.296420188690511,0,0,0.136014406826654,1.0842021724855e-19,0,0,0,0,-0.0059414671432085,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00453929255048056,0,0,0,0,0.21244256978047,0.367667694346675,0,0,0,0,0.0109979474685878,0,0,0,0,0.00108209403750991,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0928879570555171,0,0.653942987598197,0,0.0509786112058126,0,0,0,0,0,0,0,0,0,0,0.00479603128537634,0,0,0
X601319.CH.EQUITY,0,0,0.127039579957166,0,0,0,0,0,0,0,0,0,0.300507423222538,0,0,0,0,0,0.183294905386329,0,0,0.0290178653454715,0,0,0,0,0.0144478629528378,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.206223419421117,0,0,0,0,0.11297322787181,0,0,0,0,0,0,0,0,0,-0.00190935748246354,0.0341926007469969,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.103172287468312,0,0,0,0,0.335427569770839,0,0,0.165403632292229,0,0,0,0,0,0,0,0,0,0.495502394692167,0,-0.017124303518259,0,0,0
X11.HK.EQUITY,0,0.00494129504830209,0,0,0,0,0,0,0,0,0,0.0205453902573023,0,0.0671030865510569,0,0,0,0,0.0401360344104559,0,0,0.0280265551423928,0,0,0.313678525512701,0,-0.00276691463852285,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.138225517276611,0,0,0,0.0622603894973236,0,0,0,0,0,0.237998118762273,0,0,0.211726569800264,0,-0.00824428889982643,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198865505013098,0.212505101772683,0.362398591877609,0,0,-0.00203164371252145,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125927879803003,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74761974852463,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.96500675696636e-07,0,0.999964313726484,0.99996265665936
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999923039638924,0,-0.999897309854221
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.44100122318568e-07,0.999959155128641,-0.999950212863698,0
