,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601328.CH.EQUITY,0,0,0.120649338507454,0,0,0,0,0,0,0,0.0241345243712917,0,0,0,0,0.150930441413497,0,0,0,0,0.0558532354986038,0.0280053912421755,0,0,0,0,0.00777835624255439,0,0,0
X3328.HK.EQUITY,0.0723191266796934,-0.126357632417059,-0.0919260196222968,0,0,0,0,0,0,0,-0.0801412014024134,0,0.282917034196224,0,0.164411284312855,0,0,0,0,0,0,0,0,0,-0.014174920813811,0,-0.0109992837461646,0,0,0.0298798468536601
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.139666194061299,0,0,0,0,0,0,0,0,0,0,0.373026149329075,0.0557806135348292,0,0.0247176187254169,0,0.0123843381191405,0,0,-0.0169090567505818
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0299162491216916,0,0.00838237104881236,0,0.527763409246897,0,0,0,0,0,0,0,0,0,0,-0.0132587072117636,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.075441472754301,0,0,0,0,0,0,0.169720508871077,0,0,0,-4.33680868994202e-19,0,0.125780393715676,0,0.00661012573296717,0,0,0.00430452516750365
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.173524931104435,0,0,-0.090071391649715,0.0192922518270015,0,0,0,0,0,0,0.8532372713661,0,0,0,0,0,0,0,-2.16840434497101e-19,0.143310121083463,0,0.0516658051675271
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0794429237841682,0,0,0,0.0062819079986473,0,0,0,0,0,0,0.202177995239332,0,0,0,0,0,0.187427771616784,0,0,0,0,0.0278354994832689
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0723130746499452,0.233070085378477,0,0,0,0,0,0,0,0,0,0,0.114374385705258,0,0,0,0.000540947519996197,0
X601601.CH.EQUITY,0,0,0,0,0,0.255261171760339,0,0,0,0.157729046900941,0.045160836222046,0,0,0,0,0,0,0,0,0,0,0.138188952888292,0.288247046206718,0,0,0,0,0,0,-0.000593646955368664
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.063203509875894,0,0,0,0,0,0,0,0,0,0,0.0583420208671048,0,0,0,-0.226750222863551,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193293587573003,0,0,0,0,0,0,0,0,0,0,-2.37646389562126,0,-0.0796086701129316,0,-0.43229510897601
CN10YR,0,0,0,0,0,0,0,0,0,0,0,2.5807407916251e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23561165214985e-07,0,0.999970763151526,0.999966124014911
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999998845655605,0,-0.999996868037015
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999970336510207,-0.999981308835744,0
