,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0.160286944831809,0,0,0,0.216273452207311,0,0,0.378154213560652,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.254304622473444,0,0,0,-0.0111408325539693,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.496995805248694,0,0,0,0,0.0309183792983108,0,0,0,0,0,0,0,0,0,0.123641834464583,0,0.15496840283212,0,0,-0.00630902454772794,0,0.157282373184068,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.451719334980057,0,0,0,0,0.0644964203167284,0,0,0.116052593747848,0,0,0,0,0,0,0,0.0271732264828972,0.423399153913015,0,0.102721450909287,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,-0.214404177505601,0,0,0,0,0,0,0.392830090552561,0,0,0,0.332754774897037,0,0,0,0,0.11379101747281,0,0,0.13804319765356,0,0.0169755322695376,0.0531980459856532,0,0
X3328.HK.EQUITY,0.206642657298181,0,0,0,0,0,0,0,0,0,0.07823316197496,0.0236208823075308,0.227100422057431,0,0,0,0,0,0.0635312719219882,0,0,0,0.0963094192867883,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0251442218018613,0,0,0,0.0628447321275316,0.376659925550788,0.0301014535980029,0,0,0.0839214470998777,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.322501519006955,0,0,0,0,0,0,0.0778045888416386,0,0,0.0998221004106422,0,0,0,0,0.13227561497415,0.133335651918052,0,0,-0.0401554065691234,3.46944695195361e-18,0,0.263558279574145,0,0,-0.032606319626702,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0662171899738191,1.73472347597681e-18,0,0,0,0,0,0,0,0.0506182303944756,0,0,0.472588938085313,0,0.00490674159308013,0.185358032350415,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384449447360607,0,0.358636536213923,0.0799988326321029,0,-0.0299311313299622,0,-0.0106038786021054
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.214360895257805,0.124464412716947,0,0,0,0,0.42141559916085,-0.0657890159778769,0,0.120445411008232,0,0.0291393476233878,0,0,0,0.000557751084073329,0,0,0.0101559407124862
X388.HK.EQUITY,0,0,0,0,0,0.192995697455324,0,0,0,0,0.17982086286803,0,0.141586426135517,0,0,0,0,0,0,0.0906118278305919,0,0,0,0,0.0684658092449619,0,-0.0131525135457986,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0.347103121550913,0,0,0,0,0,0,0.106775985014544,0.145815922901504,0,0,0.0865449269180457,0.251789794412616,0,0,0,0,0,0,0.13324472234387,0,0,0,0,0.0645456799335487
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.336938379861401,0.0394861813820031,0.0720218534480002,0,0,0,0,0,0.50712720686455,0.0660271814383251,0,0,0,0,0,0,0.00858403964000431,0.0137939776055391,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0329895039094689,0,0,0,0,0.465455759109442,0,0,0,0.0160811965124551,0.0692226402999724,0,0,0,0,0.0369462505423132,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0771903494653274,0.284660667091607,0,0,0,0.360077563008947,0.352816421296732,0,0,0,0.108413783937993,0,0,0,0,-0.00953957318049031,0,0,-0.10284796202062
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.038635036253445,0,0,0,0,0,0,0,0,0,0,0,0,0.148267560028743,0,-0.233475148747306,0,0,0
VXFXI.INDEX,0,0,0,0.0468370284563796,0,0,0,0,0,0,5.55111512312578e-17,0,0.115102638832226,0,0,0,0,0,-1.05808328963135,0,1.704396955217,0,0,0,1.01942148245386,-3.85810110683048,0,0,0,-0.275009608530576
CN10YR,0,0,0,0,0,0,0,0,0,0,6.85299707730357e-07,0,-1.05879118406788e-22,0,0,0,0,0,0,0,0,0,0,0,0,3.25306984916158e-07,0,0,0.999998681943298,0.999998832793431
CN2YR,0,0,0,0,0,-5.14605822267025e-06,0,0,0,0,0,-4.93369375395593e-07,0,1.18548581827555e-06,0,0,0,5.00262938885149e-06,8.19026174481182e-07,0,0,0,0,0,0,0,2.64697796016969e-23,0.999996294145338,0,-0.999998169249456
CN210SLOPE,0,0,0,0,0,-5.15407500804559e-06,0,0,0,0,0,0,0,0,0,0,0,4.18418336034094e-06,2.39625101891149e-06,0,0,0,5.01140988583438e-07,0,0,0,7.15504376006936e-08,0.999997220123799,-1.00000004693092,0
