,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.57954819135645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00256465871872217,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0627842333733477,0,0,0.353226762433653,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00455678685048669,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.376601237124534,0,0,0.0989126428304867,0,0,0,0,0,0,0,0,0,0,0.184419846172784,0,-0.000720254067421809,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.145853674469642,0,0.259189716312751,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00894356558782072,0.118911558352564,0.0290048785631237,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.227519150426731,0,0,0,0,0,0.17998960616402,0,0,0,0,0,0,0,0,0,-0.0011247516110527,0.00690228120535796,0,0.0244465682479544
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0418101844327078,0,0,0,0,0,0,0,0,0.0295199466062131,0.024203486771146,0,0,0,0,-0.00608819907875737,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.232029396755385,0.12475623047514,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113734948564356,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0440738124620335,0.0263966991043618,0,0,0,0,0,0,0,0.191151989686815,0,0,0,0,0,-0.0161016125096148,0,0,0.0144785494910631
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335583329240181,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0195290288054768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296940417691938,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.204738130891417,0,0,0,0,0.217492529475968,0,0.0428984668928759,0,0,0,0,0,0,0.0252585230717788,0,0,0,0,0,0,0,0.00628169488505302,0,-0.00531347377503571,0.052165166949767
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994845693790715,0,0,0,0,0,0,0,0,0,0,0.0125261725116444
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.202550616465519,0,0,0,0,0,0,0.0444929111448283,0,0,0.0856518950019489,0,0,0,0,-0.00690105257575628,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.11394056856551,0,0.202130309435164,0.0718009396464739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.195519571677909,0,0.306299410999503,0,0,0,0,0,0,0,0,0.00646609574740447,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167422216154569,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.92317796245648,0,0,0,-0.255090042876472
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.75275197592476e-07,0,0.999979611054394,0.999972505469928
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999982606313852,0,-0.999988729773376
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24058181264844e-06,0.999954586696539,-0.999969462777994,0
