,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1299.HK.EQUITY,0,0,0,0,0.0661097506505585,0,0,0,0,0,0,0,0.247955844921139,0.421304331285614,0.14418529804353,0,0,0,0,0.0192452220428415,0,0,0,0.0980129457950077,0,0,0,-0.0103866179916452,1.73472347597681e-18,-0.0187432813880108,0
X5.HK.EQUITY,0,0.131052066056898,0,0,0,0,0,0,0,0,0.185782564956082,0,0.155603797763392,0,0.221895003005075,0,0,0.0204548558378048,0,-0.0620659404312125,0,0,0,0,0,0,0,-0.0144528739491038,2.16840434497101e-19,-0.0636313457604645,-0.355600985361316
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0590353086739662,0,0,0,0.0124823839601177,0,0,0,0,0.146952199392925,0,0,0.0750693733121163,0.282479392939582,0,0,0,-0.054262911813081,0.00974341081738369,0,-0.00235635347887625
X601628.CH.EQUITY,0,0,0,0,0,0.109863408423956,0,0,0,0,0,0,0.315972838857459,0,0,0,0,0,0,0,0,0.0498120122407023,0.304324738120959,0,0,0.0261307107899682,-0.0462802116320355,0.00265046405873809,-0.00213999828667734,0,0.0320112816162764
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0877845155962103,0,0.21848381141077,0,0,0,0,0,0,0,0,0,0,0.137304076610838,0,0.0244089561412439,0,0.00591423831285417,0.0199177156330097,0,-0.118694460711546
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247454932305094,-8.67361737988404e-19,0,0.0749978147888129,0,0,0,0,0,0,0,-0.00927300967749763,-0.00442380479879809,0.000266297165163925,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.589114436773923,0,0,0,0.0335946229942304,0,0,0,0,0,0.0332528696694645,0,0,0,0,0,0.0341595436352455,0,-0.00105500808108079,0.0090694292122103,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0892804019474928,0.0206141999608131,0,0.325421177859915,0,0,0,0,0,0,0,0,0,0,0.0410773754226923,0,0,0,0.00156122978776508,0.00822368297694265,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0186863093486762,0.0347425213224716,0.0225313646368093,0.0657539921781052,0,0,0.0946930569492578,0,0,0,0,0,0.190932590754125,0,0,0.0319313220129912,0,-0.00636869979858856,0,0.00634917485110615,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.21520954580421,0,0,0,0,0,0,0,0,0,0.31103745094622,0.166668653411907,0,0,0,-0.0135762219503191,0.000424504493585319,0.0142350005965751,-0.0599960861829571
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0156336241542562,0,0.030284905348677,0,0,0.319719748445029,0,0,0,0,0.260936211642218,0,0,0,0,-0.0220337376834918,0.0144696738449326,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.624701346174144,0,0,0,0,0,0,0,0,-0.171878573868971,0,0,0,0,0,0.025655763480296,0,0,0.0393835653203153,-0.00135747948963116,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.45390782655855,0,0,0.17332817664586,0,0,0,0.0500324242516325,0,0,0.083966254612232,0,0,0,0,0,0,0,0.0215385225013146,0.0252421993631147,-0.00332495277054101,-0.0764307178966732
X688.HK.EQUITY,0,0.152811225972941,0,0,0,0,0,0,0,0,0.367521252216617,0.263866441406739,0.427959587279686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02110897373249,0.0135605652863806,-0.0234645633545636,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0254944711812397,0.00957357806823388,0,0.12906761889586,0,0,0,0.0790565615077807,0,0,0,0,0,0,0,0,0.0144852820183926,0,0.00452673314285358,0.00270027259131908,-0.00977242418011534,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.166421982033763,0,0.348531326036211,0,0,0,0,0,0,0.0527045929724155,0,0,-0.179898625778985,0,0,-0.0282079719530121,5.42101086242752e-20,0.0114032669102177,-1.08580673650286,-0.788270815943544
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0829500759243102,0,0,0,0,0,0.236799962902721,0,0,0,-0.0752713370123479,0.243581401477435,0,0,0,0,-0.23286046030502,0,0,-0.0974300407586878
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.503679607891125,0,0,0,0,0,1.122790956012,0,0,0,-1.86506418487973,0,0,0,0,-3.29813481839357,0,-1.38777878078145e-17,0.0297263368346156,-0.200768497436633
TED.SP,0,3.36650675196974,1.46678312069804,0,-1.83315494091125,0,0,0,0,0,0,0,0,-0.388829726829747,0,0,0,-2.29431571068828,0,0.81806964428103,0.782430024635634,0,0,0,0,0,0.547885282919866,0.383157468135728,0,0.281523041468832,-0.0983624743696223
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.0712682416397384,0.0701971766028273,0,0,0,0,0,0.184224497594397,0,-0.205364766853214,0,0.214076193640786,0,0,0,-0.655881736513479,0,-0.0138463908892609,0.0286577304487317,0,-0.667532986069946
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,-0.300185150705619,0,-0.380776611462051,0,0,0,0.0787258739630906,0,-0.53181158547832,0,-0.0555376560652347,-0.011820098894878,-0.616047367610902,0
