,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365946451803894,0,0,0,0.124732781236774,0,0,0,0,0.240238457949366,0.0119260988085266,0.0806821327998285,0,0,0.0269418339394677,-0.0143842403814397,0.0436170533575966,0.0172676514282194
X2628.HK.EQUITY,0,0,0,0,0,0.190264723357714,0,0,0,0,0.0700632659176292,0,0.245127613968252,0,0,0,0,0,0,0,0,0,0.0274444103521254,0.618411978934275,0,0,0,-0.0151755807252884,-0.00899667436963436,-0.0126070214034893,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0236156930225144,0,0,0.260488456628849,0,0,0,0,0,0,0.0218409540334361,0.10774315021356,0,0.113351801967047,0,0.0165349870119466,0,0.00484520983846157,0.0183188605232961,0,-0.105454712222179
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562112560191094,0,0,0,0.254218193787583,0.0282650564752256,0,0.143185392484755,0,0,0,0,0.0284683316603371,0,0.00232326188021214,-0.000829135503853602,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.35177049209761,0,0,0.0154740996596741,0,0,0,0,0.213750035835076,0,0,0.0292319608008173,0,0.180212310150616,0,0.0648459245809969,0.0354508515726376,0,0.00754333243273574,0.0100231187253939,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123566989466377,0,0,0,0,0,0,0.212799173596907,0,0.288126854075029,0,0,0.0298330343570302,0,0.00972199748898668,-0.00547336664763725,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118102259441152,0,0,0,0,0,0,0,0,0.298274339954512,0.288736389529014,0,0,0.0467555373563242,0,0.00746423784148645,0,-0.0407322112887624
X388.HK.EQUITY,0,0,0,0,0.101712456741203,0,0,0,0,0,0,0,0,0.188040144214019,0,0,0,0,0,0,0,0.0862095498749057,0,0.153891565508829,0.149146572405937,-0.00365445889911662,0,0,0.0151436195170225,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355136195983787,0,0,0.0630393034412759,0.562393933805743,0,0.233329795149781,0,0,0.26868842297365,0,0,0,0,0.01401821954173,0.00420449640131458,0.033055378371521,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.120218317541422,0,0,0,0,0,0,0.406337540716945,0,0.347290313290255,0,0,0,0,0,0.0198782556125352,0,0,0,0,0.00287508838871857
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0440052674695468,0.202840763993072,0,0,0.12027350333626,0.0735180360903635,0.120517293398991,0,0.324330108753876,0,0,0,0.015681388904616,0.0212267230972097,0,0.015405141444462,0.0148010853016237,0,0
X688.HK.EQUITY,0,0.447588129399701,0,0,0,0,0,0,0,0,0.456938898584091,0.0362313139134573,0,0.352125677217195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589566419762347,0.0171508036938028,-0.007267667597578,0
X601601.CH.EQUITY,0,0,0,0,0.0799001138226454,0,0,0,0,0.0922758488609342,0,0,0.370232252558048,0.0412634551311556,0,0,0,0,0,0,0.193553853896097,0,0,0,0,0.038673424531405,0,-0.00233043538826358,0.00523363284044373,0,-0.147361930234859
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164292068800397,0,0,0.121055732968521,0,0.913080091269216,0,0.0855336686383524,0,0,0.0112987699308556,0.0709895474326114,-0.960727421660832,-0.171040596036563
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.168509888324822,0,0.0614515673680541,0,0,0,0,0,0,0,0,0.0403988437421659,0,0,0,0,-0.227174642031873,0.0114472809476837,0.0183921647995587,-0.100013177843327
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.851046211169533,0,0,0,0,0,0,-0.628461954164964,0.53901054249355,0,-0.993053164130065,0.850960085522724,-0.189779166102968,0,-0.100897203007026,-3.4359936084354,0,0.053801072264806,0,0
TED.SP,0,0,4.36412778295384,0,-0.14971605789574,0,0,0,0,0,0,0,0,-1.02719592549502,0,0,0,0,2.63254753820943,0,-0.321820712149711,0,0,0,-1.98897768565247,-0.375223448761715,0,0.193386742317521,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326633443420673,0,0,0,-0.591580537023998,0,0.0338012799398985,0.0130965464441401,0,-0.474264156491955
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.0347337114885384,0,0,0,0,0,0,0.188207828682818,-0.0926105953139772,-0.18242159876715,-0.114635250540437,0,0,0,0,-0.358419341588017,0,0.0308239928428328,-0.0464622488786822,-0.314838752243347,0
