,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484523643617603,0,0.26314101510578,0,0,0.0593757282658559,0.112276947544504,0,0.00818746506102994,0,0.00938553972785936,0.00331347735112038,0,0
X1299.HK.EQUITY,0.0393087245288359,0,0,0,0.1435156927151,0,0,0,0,0,0,0,0,0.164587336493376,0,0,0,0,0,1.73472347597681e-18,0,0.123564603857486,0,0,0,0.0224226790369633,0,-0.00667168431680334,0.0146312253581401,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393827989899771,0,0,0,0,0,0,0,0,0.126402447391901,0.271952078079847,0,0.00259805413861735,0,0.0330760886196454,0,0,0
X2628.HK.EQUITY,0,0,0,0,0.313850016381009,0,0,0,0,0,0,0,0.558242410512129,0,0,0,0,0.0228833672479412,0,0,0,0.0984454053060884,0.0376468273027467,0,0,0.0360347856418444,0,0,-0.0240547241821228,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605885738358823,0,0,0,0,0,0.207664034841447,0,0,0.0413231670920258,0.214815270099494,0,0.0919681723140173,0,0.00953122928191392,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00425936561419779,0.117554205468861,0,0,0,0,0,0.200964028959257,0,0,0.0717792938677988,0,0,0.0642884524080252,0,0.00861108995509601,-0.00183812487459775,0,0
X3328.HK.EQUITY,0,0,0,0,0.323601867933461,0,0,0,0,0,0,0,0,0.216851823655246,0,0,0,0.0390452710317909,0,0,0,0,0.0287637608446493,0,0,0,0,0.00678585411338623,0.00139447221290816,0,-0.0654354357296478
X000002.CH.EQUITY,0,0,0,0.111255039498671,0.13647442880097,0,0,0,0,0,0,0,0,0.185223324104101,0,0,0,0,0,0,0,0,0,0,0.294138054897698,0,0,-0.00872232908779131,0,0.0201608920276768,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0634634022524068,0.0876546336770695,0,0,0,0,0,0.201478750403484,0,0,0.166885805280737,0,0,0.170214170358862,0,0.0173434693343445,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432477993127516,0,0,0,0,0.0580195515733383,0,0,0,0.0269035837138703,0.265124687129434,0,0.0626423252818662,0,0.0105593614703409,1.0842021724855e-19,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.133004122007107,0,0.256823745725925,0,0,0,0,0,0.0163473206041479,0,0.028763995250832,0,0,0,0,0,0.0118345564857048,-0.0129909624290307,0.0586526825595824,-0.0243610703762319
X16.HK.EQUITY,0,0,0,0.0203221844904968,0,0,0,0,0,0,0,0,0.0021494747997006,0.144591734863819,0,0,0,0,0.331499013295765,0,0,0,0,0,0.317128347692799,0,0,0.0010854402825414,0.0089743547437721,0.0771269810159576,0.162818667060728
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.041554381157267,0.338696966345495,0,0,0,0,0,0.120741545295295,0,0,0,0.430528557136042,0,0.0344653810658097,-0.0520830078173576,0.0116380986761944,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.321292910370621,0.0306174993338963,0,0,0,0,0.259309322425866,0.121530442398458,0,0,0.205749317326198,0,0,0.00334569505525788,0,-0.0109604672035172,0.0172636017191338,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.191929074094071,0,0,0,0,0.030080291307987,0,0.383993469611287,0,0,0.160706501268085,0,0,0,0,0.00338553218773996,-0.0156392538502365,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777922980204372,0,0,0,0,0.435982449835187,0,0,0,0.0234601171453784,0,0,0,0,0.00107623412251977,-0.0522959899009628,-0.670868538815344,0
FXI.US.EQUITY,0,0,0,0,0.275994248155481,0,0,0,0,0,0,0,-0.0269149718950263,0,0,0,0,0.0029064648968083,0,0,0,0,0,-0.261045625134745,0,0,0,-0.210557606714834,0.025133833103785,0,-0.0450001827576345
VXFXI.INDEX,0.623140993705487,0,0,0,1.36798330682488,0,0,0,0,0,0,0,0,0,0,0,0,0.191776377435868,0,0,0,-0.979085129820433,-0.502926480571659,-0.971844390948857,0,0.101641994392758,-4.71632957774144,0,0.103072984497461,-0.098292755972176,-0.276937081115811
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.700469592266076,0,0,0,0,0,0,0,0,0.76184076031775,0,0,-0.636695299697047,0,-0.0183923100137273,0,0,-0.388724142527062
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0.0425587317522198,0,0,0,0.192631123143473,0,0,0,0,0,0.510134724345259,0,0,0,0,0,-0.821898589508691,0,0.013535984990855,0,0,-0.617680117900415
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458019810823542,0,0,0,0,0,0,0,0.026084085501254,-0.00450735178637685,-0.236557199037355,0,-0.609889111164145,-0.103670926957765,0,-0.0651809883694304,-0.630466098840946,0
