,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1299.HK.EQUITY,0,0,0,0.0833629773942168,0,0,0,0,0,0,0,0,0.0380181474723412,0,0,0,0,0,0.343532666979856,0.0075877871705936,0,0,0.0304927955172597,0,0.17752790283375,0.0563964006165204,0,0.0361376032308988,0.0437006561794962,0,0.12962683659121
X2628.HK.EQUITY,0,0,0.304620051267177,0,0,0,0,0,0,0,0,0,0,0.231117337714789,0,0,0,0,0,0,-0.0322810336982183,0,0,0,0,0,0,-0.0510725105275257,0,0.091940151616404,-0.0260110349965828
X601628.CH.EQUITY,0,0,0.389138425506822,0,0.135798343045621,0,0,0,0,0,0,0,0.0501881629692261,0,0,0,0.261139363673665,0,0,0,0.165163343797359,0,0,0.335822237259154,0,0,0,-0.00721718296969632,0,0.0734448660835731,-0.0248612092933619
X3328.HK.EQUITY,0,0,0,0,0,0.109269224514187,0,0,0,0,0,0,0.221804337005652,0.00918989563839265,0,0,0,0,0,0,0,0,0,0,0.149898667951374,0,0,0,-0.0239505169378248,0.0151294066358872,0.0128963670075904
X601328.CH.EQUITY,0,0,0,0,0.288110834577569,0,0,0,0,0,0,0,0,0,0,0,0.292331323720149,0,0,0,0,0.122901832723035,0,0.0125728878823704,0,0,0,0,-0.00999925095283797,0,0.0285393380363804
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107099838896499,0,0,0.284647134950861,0,0,0,0,0,0.0594174540399738,0,0,0,0.100927151639008,0,0.0412421521116396,0,0.00977447134813849,0,-0.00405479488534224,0.0622698008359834
X16.HK.EQUITY,0,0,0.0690291619623081,0,0,0,0.0390659302521498,0,0,0,0,0,0.21559110337455,-0.0453604156718915,0,0,-0.072746712107408,0,0,0,-0.0406045905602855,0.0491600218955149,0,0,0,-0.0111741672021658,0,0.00843263808564242,0.0192797758881524,-0.0262049981501726,-0.135638078531047
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.163279225841622,0,0,0,0,0,0,0,0.0184540337446006,0,0.197978670761372,0,0.0186455143404767,0.0295043659549386,0,-0.0105298099856488,0.0327267293943242,-0.0643984504116862,-0.0426661801295477
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.252060268999248,0,0,0.0799762877410937,0,0,0.157799151237214,0,0,0,0,0,0.14672613919046,0.137590862301719,0,0,0,0,0,-0.00435520777239774,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.434258157783824,0,0,0,-0.0645729172381617,0,0,0.323110942870706,0,0.0644051932037326,0,0.560554589635155,0,0,-0.222719894592192,0,0,0.0164340684036213,-0.392211847616123,0,0
X000002.CH.EQUITY,0,0,0.666745636072564,0,0,0,0,0,0,0,0,0,0.00353418831252649,0,0,0,0,0,0,0,0.0940289104646329,0,-0.274649715028714,0,0,0.0692651466835754,0,0.0416263008034271,0,0,-0.0556970543757919
X2388.HK.EQUITY,0,0,4.33680868994202e-19,0.11895648753135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603869711511419,0,0,0,0.44522801327204,0,0,-0.0316905736708506,0,-0.0221771243101077,0.0282066678844832
X601601.CH.EQUITY,0,0.0673675293358472,0.297049294698283,0,0.0442959368990535,0,0,0,0,0,0.116644714656759,0,0.211303718123236,0.083247611752987,0,0,0,0,0,0,-0.0198353263646156,0,0,0,0,0.0212221522329746,0,0.0116134812769459,0,-1.0842021724855e-19,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.374611038838794,0,0,0,0.0859494698408426,0,0,0,0,0,0.207729962757664,0,0,0,0,-0.0255720296638412,0,0,0
CGB3M,0,0,0,0,0.210756480950096,0,0,0,0,0,0,-0.0181791946421029,0.0260505666253473,0.0163450682419763,0,0,0,0,0,0,0.00866658615178104,0,0,0,0,0,0,0,-0.0421838579776054,-0.746867618182306,-0.163121246436361
FXI.US.EQUITY,0,0,-0.154431780258563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353112619177147,0,0,0,0,0,0,-0.262774024566606,0.0340855631916781,0.0503019298165612,0
VXFXI.INDEX,0,0,-1.3815033130753,0.268845865142361,0,0,0,-0.499763373815653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501973445304772,0,-0.0380743753569871,0,-0.0291703519021264,-2.907062823398,0,0.207349878281604,0.396663229980533,0.239045196490602
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.633635087004139,0,0,0,-0.00552212196779733,0,0.539107969366567,-0.00907225323230186
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0.150948616062428,0,0,-6.93889390390723e-18,0.163228212540552,0,0,0,0,0,0,0.013204682597628,0,0,0,0,-1.1673614318355,0.0696820004329806,0.0277170453698953,0,0,-0.238650160385774
CREDIT.SP,0,0,0,0,0,0,0,-0.311749950103484,0,0,0.15249404702542,0,0,0.0416516383064112,0,0,0,0,0,0,0.0228180296552235,0,0,0,0,-0.188145972252845,0,-0.0334134802298122,-0.135259056494176,-0.276673216816721,0
